,HGM,MER,CAM
Enero,,74.0,
Febrero,,67.5,
Marzo,,64.0,
Abril,,56.0,
Mayo,,53.0,
Junio,,39.0,
Julio,,49.0,
Agosto,,48.0,
Septiembre,,38.0,
Octubre,,46.0,
Noviembre,,68.0,
Diciembre,,99.0,
