,HGM,MER,CAM
Enero,,71.0,61.0
Febrero,56.0,67.0,62.0
Marzo,47.0,59.0,50.0
Abril,37.0,52.0,36.0
Mayo,39.0,49.0,38.0
Junio,48.0,54.0,41.0
Julio,46.0,57.0,49.0
Agosto,40.0,50.5,44.0
Septiembre,35.0,44.0,40.0
Octubre,39.0,54.0,47.0
Noviembre,54.0,64.0,55.0
Diciembre,75.0,89.5,81.0
