,HGM,MER,CAM
Enero,62.0,73.0,66.0
Febrero,56.0,68.0,57.0
Marzo,44.0,50.5,42.0
Abril,38.5,52.0,43.0
Mayo,37.0,45.0,37.0
Junio,35.0,48.0,39.0
Julio,34.0,49.0,39.0
Agosto,32.0,45.0,37.0
Septiembre,44.0,47.0,49.0
Octubre,37.0,52.0,48.0
Noviembre,59.0,64.0,57.0
Diciembre,65.0,75.0,70.0
