,HGM,MER,CAM
Enero,35.0,47.0,41.0
Febrero,33.0,44.0,38.0
Marzo,29.0,40.0,28.0
Abril,17.0,23.0,19.0
Mayo,17.0,21.0,18.0
Junio,15.0,21.0,18.0
Julio,18.0,25.0,21.0
Agosto,21.0,28.0,24.0
Septiembre,,28.5,25.0
Octubre,,37.0,31.0
Noviembre,,48.0,44.0
Diciembre,,50.0,45.0
