,HGM,MER,CAM
Enero,51.0,65.0,54.5
Febrero,47.0,,51.0
Marzo,37.0,53.0,47.0
Abril,36.0,47.0,43.0
Mayo,41.0,53.0,46.0
Junio,40.0,48.0,44.0
Julio,42.0,48.0,43.5
Agosto,33.0,42.0,36.5
Septiembre,47.0,47.0,51.0
Octubre,34.0,48.0,41.0
Noviembre,46.0,59.0,51.0
Diciembre,65.0,77.0,65.0
