,HGM,MER,CAM
Enero,,46.0,44.0
Febrero,,44.0,40.0
Marzo,,36.0,32.0
Abril,,32.0,26.0
Mayo,,28.0,24.0
Junio,,28.0,24.0
Julio,,37.0,33.0
Agosto,,33.0,27.0
Septiembre,,35.0,30.0
Octubre,,35.0,32.0
Noviembre,,44.0,38.0
Diciembre,,68.0,61.0
