,HGM,MER,CAM
Enero,58.0,71.0,63.5
Febrero,51.0,63.0,55.0
Marzo,34.0,46.0,40.0
Abril,36.0,49.0,44.0
Mayo,36.0,45.0,38.0
Junio,36.0,45.0,37.0
Julio,37.0,45.0,36.0
Agosto,34.0,46.0,38.0
Septiembre,33.0,41.0,39.0
Octubre,30.0,39.0,37.0
Noviembre,47.0,58.0,46.0
Diciembre,45.0,61.0,49.0
