,HGM,MER,CAM
Enero,41.0,51.0,59.0
Febrero,37.0,46.5,
Marzo,31.0,39.0,32.0
Abril,24.0,34.0,28.0
Mayo,22.0,32.0,26.0
Junio,23.0,32.0,
Julio,27.0,37.0,
Agosto,25.0,31.0,
Septiembre,25.0,33.0,28.0
Octubre,28.0,38.0,32.0
Noviembre,37.0,47.0,39.0
Diciembre,47.0,65.0,58.0
