,HGM,MER,CAM
Enero,55.0,71.0,61.0
Febrero,39.0,49.0,44.0
Marzo,38.0,45.0,41.0
Abril,29.0,38.0,37.0
Mayo,30.0,37.0,34.0
Junio,29.0,35.0,30.0
Julio,35.0,48.0,39.0
Agosto,30.0,51.0,33.0
Septiembre,34.0,40.0,28.0
Octubre,32.0,38.0,41.0
Noviembre,48.5,64.5,52.0
Diciembre,59.0,74.5,
