,HGM,MER,CAM
Enero,60.5,70.0,65.0
Febrero,49.5,62.0,56.0
Marzo,36.0,46.5,43.0
Abril,37.0,51.0,43.0
Mayo,44.0,53.0,48.0
Junio,39.0,46.0,43.0
Julio,40.0,54.0,42.0
Agosto,36.0,,40.0
Septiembre,31.0,,37.0
Octubre,38.0,,43.0
Noviembre,53.0,79.5,67.0
Diciembre,52.0,72.0,58.0
