,HGM,MER,CAM
Enero,,76.0,
Febrero,,52.0,
Marzo,,53.0,
Abril,,43.0,
Mayo,,41.0,
Junio,,33.0,
Julio,,48.0,42.0
Agosto,,35.0,34.0
Septiembre,,40.0,38.0
Octubre,,50.0,48.0
Noviembre,,67.0,62.0
Diciembre,,93.0,81.5
