,HGM,MER,CAM
Enero,47.0,57.0,49.5
Febrero,36.0,46.0,40.0
Marzo,34.0,43.0,38.0
Abril,32.0,41.0,32.0
Mayo,27.0,35.0,31.0
Junio,32.0,40.0,42.0
Julio,29.0,39.0,32.0
Agosto,34.0,40.0,36.0
Septiembre,32.0,43.0,36.0
Octubre,37.0,42.0,37.0
Noviembre,46.0,56.0,54.5
Diciembre,55.0,69.0,68.0
