Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-10-2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-10-2015,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-10-2015,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-10-2015,4,,26,,,,17,14,22,,23,23,20,30,16,28,,,18,35,19,,19,25,,17,,21,22,,,33,,,,,,,,20,,,14,9,,24,
01-10-2015,5,,22,,,,19,11,20,,12,9,21,33,5,15,,,18,36,15,,8,21,,10,,7,18,,,23,,,,,,,,11,,,16,5,,21,
01-10-2015,6,,20,,,,9,2,7,,12,5,10,27,2,3,,,8,36,8,,3,8,,4,,3,9,,,13,,,,,,,,2,,,7,3,,19,
01-10-2015,7,,12,,,,4,2,4,,15,3,7,17,2,4,,,2,29,5,,1,13,,1,,3,3,,,7,,,,,,,,2,,,4,2,,13,
01-10-2015,8,,23,,,,4,3,5,,13,5,5,13,4,3,,,6,29,7,,1,19,,1,,6,5,,,3,,,,,,,,4,,,6,5,,15,
01-10-2015,9,,16,,,,11,5,8,,20,15,13,12,19,7,,,11,30,15,,5,14,,3,,9,5,,,8,,,,,,,,4,,,16,17,,17,
01-10-2015,10,,20,,,,10,7,12,,29,26,15,21,18,12,,,9,29,18,,8,21,,5,,17,14,,,19,,,,,,,,8,,,21,14,,21,
01-10-2015,11,,22,,,,9,18,8,,34,35,11,26,28,15,,,16,32,22,,12,25,,11,,27,10,,,,,,,,,,,15,,,22,27,,26,
01-10-2015,12,,22,,,,32,28,25,,38,43,34,23,31,37,,,32,31,37,,20,25,,27,,36,22,,,,,,,,,,,30,,,35,37,,30,
01-10-2015,13,,38,,,,35,33,37,,40,48,38,46,34,44,,,30,35,41,,26,28,,37,,43,34,,,,,,,,,,,35,,,49,38,,33,
01-10-2015,14,,43,,,,41,34,43,,42,50,43,49,37,43,,,36,43,48,,28,34,34,40,,48,41,,,,,,,,,,,36,,,52,46,,38,
01-10-2015,15,,56,,,,48,40,50,,46,48,49,54,35,43,,,44,47,53,,26,36,40,45,,51,50,,,38,,,,,,,,37,,,54,46,,39,
01-10-2015,16,,54,,,,41,34,46,,42,51,45,49,34,41,,,38,51,43,,20,32,31,37,,47,47,,,36,,,,,,,,32,,,,39,,34,
01-10-2015,17,,42,,,,30,25,34,,38,41,34,46,34,39,,,29,49,36,,18,29,25,29,,36,39,,,31,,,,,,,,25,,,38,32,,31,
01-10-2015,18,,38,,,,23,19,27,,37,31,25,37,28,39,,,19,42,24,,22,23,14,25,,30,31,,,27,,,,,,,,22,,,30,25,,29,
01-10-2015,19,,32,,,,12,13,23,,32,33,13,32,27,30,,,13,32,17,,24,26,10,18,,24,21,,,22,,,,,,,,14,,,16,21,,16,
01-10-2015,20,,23,,,,19,17,12,,29,26,19,28,28,20,,,21,34,16,,22,29,17,18,,19,15,,,22,,,,,,,,22,,,29,24,,20,
01-10-2015,21,,18,,,,18,17,18,,25,12,18,21,25,18,,,25,29,15,,16,30,17,25,,18,20,,,17,,,,,,,,18,,,32,23,,18,
01-10-2015,22,,12,,,,11,20,7,,20,2,15,26,27,20,,,16,29,20,,13,28,19,17,,18,17,,,17,,,,,,,,14,,,23,23,,17,
01-10-2015,23,,17,,,,14,17,15,,27,2,18,29,28,29,,,20,30,15,,11,29,21,14,,30,12,,,13,,,,,,,,16,,,28,26,,31,
01-10-2015,24,,18,,,,20,22,13,,27,2,27,30,17,32,,,20,31,28,,11,27,22,16,,28,20,,,23,,,,,,,,16,,,24,20,,29,
02-10-2015,1,,25,,,,23,20,22,,24,2,28,33,12,32,,,21,35,30,,12,30,21,18,,20,22,,,24,,,,,,,,19,,,18,11,,28,
