,HGM,MER,CAM
Enero,0.9,1.1,0.9
Febrero,0.8,0.9,0.8
Marzo,0.5,0.7,0.5
Abril,0.7,0.9,0.6
Mayo,0.9,0.9,0.5
Junio,0.8,0.9,0.5
Julio,0.7,0.9,0.5
Agosto,0.7,0.9,0.4
Septiembre,0.6,0.8,0.5
Octubre,0.6,1.0,0.7
Noviembre,0.9,1.2,1.0
Diciembre,0.8,1.1,0.9
