,HGM,MER,CAM
Enero,1.151685393258427,1.3251388888888889,1.1331983805668018
Febrero,0.9228013029315961,1.1311145510835914,0.9145869947275922
Marzo,0.6316239316239316,0.9124624624624625,0.6816216216216215
Abril,0.8574963609898109,1.1442708333333333,0.823529411764706
Mayo,0.9984825493171472,1.0799668874172184,0.6841949778434269
Junio,0.9156250000000001,1.0110782865583456,0.603586800573888
Julio,0.7804137931034482,1.0381615598885796,0.5635155096011817
Agosto,0.7524285714285713,1.0093837535014005,0.44666666666666666
Septiembre,0.7023622047244095,0.9439198855507868,0.6229901269393513
Octubre,0.7093514328808446,1.082168674698795,0.8165653495440729
Noviembre,0.921919770773639,1.2443324937027707,1.1457553956834532
Diciembre,0.9690410958904111,1.2793433652530781,1.069692532942899
