Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-09-2010,1,,,,,,,,,,0.80,,,,0.50,,0.6,0.30,0.5,,,0.50,,,,0.40,,,0.3,0.2,,0.7,,0.20,0.30,,,0.50,,,0.20,
01-09-2010,2,,,,,,,,,,0.80,,,,0.30,,0.4,0.10,0.4,,,0.30,,,,0.30,,,0.2,0.1,,0.5,,0.10,0.30,,,0.60,,,0.10,
01-09-2010,3,,,,,,,,,,0.80,,,,0.20,,0.4,0.00,0.4,,,0.30,,,,0.30,,,0.1,0.1,,0.4,,0.20,0.30,,,0.60,,,0.10,
01-09-2010,4,,,,,,,,,,0.70,,,,0.20,,0.5,0.00,0.4,,,0.40,,,,0.40,,,0.1,0.1,,0.4,,0.20,0.30,,,0.50,,,0.20,
01-09-2010,5,,,,,,,,,,0.70,,,,0.50,,0.6,0.20,0.5,,,0.60,,,,0.60,,,0.2,0.3,,1.0,,0.40,0.40,,,0.50,,,1.00,
01-09-2010,6,,,,,,,,,,0.90,,,,0.50,,1.0,0.50,0.9,,,1.20,,,,1.20,,,0.9,0.6,,2.1,,0.70,,,,1.00,,,2.00,
01-09-2010,7,,,,,,,,,,1.80,,,,0.90,,1.4,1.20,1.5,,,1.80,,,,1.70,,,1.5,1.0,,3.2,,1.30,1.20,,,2.20,,,2.30,
01-09-2010,8,,,,,,,,,,1.80,,,,0.90,,1.8,1.10,1.4,,,1.70,,,,1.70,,,1.4,0.7,,3.5,,1.00,,,,2.30,,,1.70,
01-09-2010,9,,,,,,,,,,1.80,,,,0.80,,0.9,0.80,1.2,,,1.30,,,,1.30,,,1.2,0.7,,2.8,,1.00,0.70,,,1.60,,,1.10,
01-09-2010,10,,,,,,,,,,1.60,,,,1.00,,0.7,0.80,0.9,,,1.30,,,,0.80,,,1.0,0.7,,2.0,,1.00,0.70,,,1.90,,,1.10,
01-09-2010,11,,,,,,,,,,0.60,,,,1.20,,1.0,0.80,1.2,,,1.10,,,,0.70,,,1.0,0.7,,1.2,,0.90,0.70,,,1.60,,,1.00,
01-09-2010,12,,,,,,,,,,0.60,,,,1.20,,1.1,0.90,1.4,,,1.20,,,,0.80,,,0.7,0.8,,1.1,,1.00,0.90,,,0.80,,,0.90,
01-09-2010,13,,,,,,,,,,,,,,1.30,,1.4,0.30,1.2,,,0.80,,,,1.00,,,0.4,1.2,,1.0,,0.90,1.00,,,0.40,,,1.10,
01-09-2010,14,,,,,,,,,,,,,,1.30,,1.0,0.30,1.0,,,0.50,,,,0.80,,,0.3,1.1,,1.0,,1.30,0.90,,,0.40,,,1.30,
01-09-2010,15,,,,,,,,,,,,,,1.20,,1.0,0.30,0.9,,,0.50,,,,0.70,,,0.4,0.9,,1.1,,1.30,0.60,,,0.40,,,1.20,
01-09-2010,16,,,,,,,,,,,,,,1.20,,0.7,0.40,1.2,,,0.70,,,,0.80,,,0.3,0.7,,2.1,,0.80,0.40,,,0.50,,,1.30,
01-09-2010,17,,,,,,,,,,0.60,,,,0.90,,0.5,0.60,0.9,,,0.70,,,,0.60,,,0.5,0.5,,1.7,,0.90,0.30,,,0.70,,,0.50,
01-09-2010,18,,,,,,,,,,0.80,,,,1.30,,0.5,0.90,1.2,,,1.00,,,,0.70,,,1.0,0.6,,1.0,,1.20,0.40,,,1.20,,,0.60,
01-09-2010,19,,,,,,,,,,1.10,,,,1.10,,1.2,1.00,1.3,,,1.60,,,,0.90,,,0.8,0.9,,0.9,,0.70,0.60,,,0.90,,,,
01-09-2010,20,,,,,,,,,,1.20,,,,1.40,,1.1,1.80,1.4,,,1.60,,,,1.20,,,1.7,0.7,,1.4,,0.70,0.80,,,1.40,,,1.30,
01-09-2010,21,,,,,,,,,,1.00,,,,0.80,,1.5,2.40,1.5,,,1.90,,,,1.30,,,1.7,0.9,,1.5,,0.70,0.50,,,2.50,,,1.20,
01-09-2010,22,,,,,,,,,,1.00,,,,0.60,,1.5,,1.7,,,1.80,,,,0.80,,,1.2,0.7,,1.4,,0.50,0.50,,,2.00,,,1.10,
01-09-2010,23,,,,,,,,,,0.90,,,,0.50,,0.9,,1.3,,,0.90,,,,0.60,,,1.0,0.7,,1.2,,0.30,0.40,,,1.50,,,0.70,
01-09-2010,24,,,,,,,,,,0.70,,,,0.40,,0.6,,1.1,,,1.20,,,,0.60,,,1.1,0.2,,1.0,,0.30,0.30,,,1.30,,,0.60,
02-09-2010,1,,,,,,,,,,0.50,,,,0.40,,0.4,,0.7,,,0.70,,,,0.50,,,0.3,0.1,,0.8,,0.20,0.40,,,0.90,,,0.60,
02-09-2010,2,,,,,,,,,,0.60,,,,0.30,,0.4,0.20,0.6,,,0.50,,,,0.40,,,0.1,0.0,,0.6,,0.20,0.30,,,0.80,,,0.40,
02-09-2010,3,,,,,,,,,,0.60,,,,0.30,,0.4,0.10,0.5,,,0.30,,,,0.50,,,0.0,0.0,,0.4,,0.10,0.30,,,0.60,,,0.30,
