Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-01-2010,1,,,,,,,,,,,,,,1.80,,1.9,1.60,1.6,,,1.70,,0.90,,1.40,,,2.0,1.9,,3.1,,1.10,1.80,,,1.90,1.9,1.20,2.00,
01-01-2010,2,,,,,,,,,,,,,,1.40,,1.5,1.40,1.1,,,1.40,,0.80,,1.70,,,2.0,1.6,,2.6,,1.10,2.50,,,1.70,1.6,1.30,2.10,
01-01-2010,3,,,,,,,,,,,,,,1.20,,0.8,1.10,1.1,,,1.40,,0.80,,1.20,,,1.5,1.2,,2.2,,1.10,2.50,,,1.40,1.1,1.20,0.80,
01-01-2010,4,,,,,,,,,,,,,,0.80,,0.4,0.60,0.3,,,0.60,,0.50,,0.90,,,0.9,1.0,,0.8,,1.00,1.90,,,0.80,1.2,1.30,0.60,
01-01-2010,5,,,,,,,,,,,,,,0.60,,0.9,0.50,0.4,,,0.60,,0.40,,0.90,,,0.8,0.6,,0.8,,0.70,1.90,,,0.50,1.2,0.90,0.60,
01-01-2010,6,,,,,,,,,,,,,,0.70,,0.5,0.50,0.5,,,0.80,,0.40,,0.60,,,0.6,0.4,,0.5,,0.30,0.80,,,0.30,0.5,0.60,0.40,
01-01-2010,7,,,,,,,,,,,,,,0.50,,0.3,0.40,0.2,,,0.70,,0.30,,0.60,,,0.3,0.2,,0.5,,0.20,0.70,,,0.30,0.5,0.60,0.50,
01-01-2010,8,,,,,,,,,,,,,,0.50,,0.4,0.40,0.2,,,0.80,,0.20,,0.60,,,0.3,0.3,,0.4,,0.20,0.70,,,0.40,0.5,0.60,0.50,
01-01-2010,9,,,,,,,,,,,,,,0.60,,0.3,0.30,0.2,,,0.70,,0.10,,0.60,,,0.2,0.2,,0.3,,0.20,0.70,,,0.40,0.5,0.60,0.40,
01-01-2010,10,,,,,,,,,,,,,,0.40,,0.2,0.20,0.0,,,0.60,,0.10,,0.50,,,0.1,1.2,,0.2,,0.10,0.50,,,0.40,0.4,0.50,0.40,
01-01-2010,11,,,,,,,,,,,,,,0.40,,0.2,0.20,0.0,,,0.50,,0.10,,0.50,,,0.1,0.5,,0.3,,0.10,0.50,,,0.30,0.3,0.40,0.40,
01-01-2010,12,,,,,,,,,,,,,,0.50,,0.2,0.20,0.1,,,0.60,,0.20,,0.60,,,0.2,0.2,,0.3,,0.20,0.50,,,0.30,0.3,0.40,0.40,
01-01-2010,13,,,,,,,,,,,,,,0.50,,0.2,0.30,0.2,,,0.60,,0.20,,0.50,,,0.3,0.2,,0.4,,0.20,0.50,,,0.40,0.3,0.40,0.50,
01-01-2010,14,,,,,,,,,,,,,,0.50,,0.3,0.30,0.2,,,0.70,,0.20,,0.60,,,0.3,0.2,,0.4,,0.20,0.50,,,0.50,0.4,0.40,0.40,
01-01-2010,15,,,,,,,,,,,,,,0.60,,0.3,0.40,0.3,,,0.60,,0.20,,0.50,,,0.3,0.3,,0.5,,0.20,0.60,,,0.50,0.5,0.40,0.50,
01-01-2010,16,,,,,,,,,,,,,,0.70,,0.4,0.60,0.4,,,0.60,,0.20,,0.60,,,0.3,0.4,,0.4,,0.30,0.60,,,0.50,0.5,0.40,0.50,
01-01-2010,17,,,,,,,,,,,,,,0.70,,0.5,0.50,0.4,,,0.70,,0.30,,0.70,,,0.2,0.5,,0.3,,0.30,0.60,,,0.50,0.7,0.50,0.60,
01-01-2010,18,,,,,,,,,,,,,,0.80,,0.5,0.60,0.6,,,0.80,,0.30,,0.80,,,0.3,0.5,,0.3,,0.30,0.70,,,0.50,0.5,0.50,0.80,
01-01-2010,19,,,,,,,,,,,,,,0.70,,0.6,1.00,0.7,,,1.10,,0.30,,1.10,,,0.4,0.5,,0.2,,0.40,0.80,,,0.50,0.7,0.60,1.40,
01-01-2010,20,,,,,,,,,,,,,,0.60,,0.6,0.70,0.6,,,1.10,,0.50,,1.10,,,0.7,0.5,,0.8,,0.60,0.90,,,0.60,0.8,0.60,1.20,
