,HGM,MER,CAM
Enero,,1.3,
Febrero,,1.2,
Marzo,,1.2,
Abril,,0.9,
Mayo,,,
Junio,,0.7,
Julio,,1.0,
Agosto,,0.8,
Septiembre,,0.6,
Octubre,,0.7,
Noviembre,,1.0,
Diciembre,,1.6,
