Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-01-2017,1,,1,,,2,,,3,1,,,4,,2,2,2,,,,1,9,,4,4,,5,2,,5,1,,,4,1,2,,,3,,,4,5,,1,4,,,4,
01-01-2017,2,,1,,,2,,,4,1,,,3,,2,1,2,,,1,1,12,,6,5,,6,3,,7,1,,,6,1,3,,,4,,,3,7,,2,5,,,8,
01-01-2017,3,,1,,,2,,,3,1,,,3,,2,1,3,,,2,1,15,,6,5,,5,4,,8,2,,,5,1,3,,,5,,,2,7,,2,8,,,10,
01-01-2017,4,2,1,,,2,,,3,1,,2,2,,2,1,2,,,2,1,13,,7,12,,5,3,1,8,2,,,6,1,3,,,3,,,3,7,,2,5,,,9,
01-01-2017,5,2,1,,,2,,,4,1,,4,4,,1,1,2,,,2,1,5,,6,5,,5,3,1,5,1,,,6,1,3,,,1,,,3,6,,2,4,,,7,
01-01-2017,6,1,1,,,1,,,3,1,,2,3,,1,1,2,,,2,1,4,,7,5,,5,2,1,4,1,,,7,1,2,,,1,,,3,5,,1,3,,,6,
01-01-2017,7,1,1,,,1,,,2,1,,2,2,,1,2,2,,,2,1,3,,6,4,,5,2,1,3,1,,,8,1,2,,,1,,,4,5,,1,3,,,5,
01-01-2017,8,1,1,,,1,,,1,1,,2,2,,1,1,1,,,2,1,3,,6,4,,4,2,1,3,1,,,9,1,2,,,1,,,2,4,,1,3,,,5,
01-01-2017,9,1,1,,,2,,,2,1,,3,2,,1,3,3,,,2,1,4,,6,4,,5,3,1,4,1,,,10,1,4,,,2,,,4,4,,1,3,,,6,
01-01-2017,10,2,1,,,5,,,2,1,,4,2,,1,6,3,,,3,1,4,,7,5,,7,3,2,4,1,,,8,1,4,,,2,,,4,5,,2,3,,,6,
01-01-2017,11,3,1,,,4,,,2,2,,3,2,,1,5,2,,,3,1,3,,7,4,,6,3,2,4,1,,,7,1,5,,,2,,,3,6,,2,3,,,5,
01-01-2017,12,2,1,,,3,,,2,1,,4,2,,1,4,2,,,2,1,3,,4,4,,4,3,2,3,1,,,7,1,3,,,1,,,3,5,,1,2,,,4,
01-01-2017,13,2,1,,,2,,,2,1,,2,1,,1,2,2,,,2,2,3,,3,2,,3,2,2,2,1,,,6,1,2,,,0,,,3,3,,1,3,,,3,
01-01-2017,14,1,1,,,2,,,2,1,,2,1,,1,2,2,,,1,1,2,,3,2,,3,2,1,1,1,,,6,1,2,,,0,,,2,3,,1,2,,,2,
01-01-2017,15,1,1,,,1,,,1,1,,2,1,,1,2,1,,,1,1,2,,2,2,,3,2,1,1,1,,,6,1,1,,,0,,,1,3,,0,2,,,2,
01-01-2017,16,1,1,,,1,,,1,1,,2,1,,1,2,1,,,1,1,2,,2,2,,3,1,1,0,1,,,6,1,1,,,0,,,1,3,,0,1,,,2,
01-01-2017,17,1,1,,,1,,,1,1,,1,1,,1,2,1,,,1,1,2,,2,2,,2,1,1,0,1,,,5,1,1,,,,,,1,3,,0,1,,,1,
01-01-2017,18,1,1,,,1,,,1,1,,1,1,,1,2,1,,,1,1,2,,1,1,,2,1,1,0,0,,,4,1,1,,,0,,,1,3,,0,1,,,1,
