,HGM,MER,CAM
Enero,0.5,0.4,0.3
Febrero,0.3,0.3,0.3
Marzo,0.4,0.4,0.4
Abril,0.3,0.4,0.3
Mayo,0.3,0.3,0.3
Junio,0.3,0.3,0.3
Julio,0.3,0.3,0.2
Agosto,0.4,0.4,0.3
Septiembre,0.3,0.4,0.3
Octubre,0.4,0.4,0.3
Noviembre,0.6,0.7,0.5
Diciembre,0.7,0.7,0.6
