,HGM,MER,CAM
Enero,0.6005563282336579,0.6118530884808013,0.4816666666666667
Febrero,0.44928684627575277,0.46354344122657587,0.4487767584097859
Marzo,0.5034536891679748,0.5987804878048781,0.5115819209039548
Abril,0.4083936324167872,0.5014970059880239,0.4875536480686695
Mayo,0.3854972375690608,0.40631424375917774,0.36109375
Junio,0.33411078717201165,0.41129271916790494,0.40632911392405063
Julio,0.30453900709219855,0.39102209944751387,0.27355836849507736
Agosto,0.402231520223152,0.4346853146853147,0.34493758668515956
Septiembre,0.3831818181818182,0.4675287356321839,0.3770562770562771
Octubre,0.41253918495297803,0.4956276445698166,0.41195499296765115
Noviembre,0.6687055476529161,0.7760174418604651,0.5952599388379204
Diciembre,0.7610803324099723,0.8142657342657343,0.6746153846153846
