Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-01-2018,1,0.40,0.80,,,0.80,,0.60,,0.70,,1.40,,,0.50,,0.30,,,0.80,,0.40,,,0.80,0.50,,0.50,,1.00,0.80,,,0.60,0.60,,,,1.50,,,0.40,1.10,,,1.20,,0.60,0.40,
01-01-2018,2,0.40,0.70,,,,,0.50,,0.50,,2.30,,,0.20,,0.30,,,0.60,,0.40,,,0.90,0.20,,0.30,,1.00,0.60,,,0.60,0.30,,,,1.20,,,0.40,1.00,,,0.80,,0.80,0.40,
01-01-2018,3,0.40,0.70,,,1.00,,0.50,,0.30,,2.70,,,0.20,,0.40,,,0.60,,0.30,,,0.80,0.70,,0.30,,1.10,0.40,,,0.50,0.20,,,,1.90,,,0.60,1.20,,,0.60,,0.80,0.40,
01-01-2018,4,0.40,0.50,,,0.20,,0.50,,0.20,,2.30,,,0.20,,0.40,,,0.60,,0.20,,,0.80,0.70,,0.40,,1.00,0.30,,,0.40,0.30,,,,1.00,,,0.60,1.30,,,0.50,,0.80,0.70,
01-01-2018,5,0.40,0.40,,,0.30,,0.40,,0.20,,2.00,,,0.40,,0.50,,,0.70,,0.20,,,0.80,0.30,,0.40,,0.90,0.40,,,0.50,0.30,,,,1.20,,,0.40,1.20,,,0.70,,0.70,0.80,
01-01-2018,6,0.40,0.40,,,0.20,,0.50,,0.30,,0.80,,,0.70,,0.40,,,0.50,,0.20,,,0.60,0.50,,0.40,,0.70,0.60,,,0.40,0.20,,,,0.90,,,0.50,0.80,,,0.80,,0.50,0.90,
01-01-2018,7,0.40,0.60,,,0.20,,0.40,,0.40,,1.20,,,0.40,,0.40,,,0.60,,0.10,,,0.60,0.70,,0.40,,0.60,0.60,,,0.20,0.20,,,,0.60,,,0.40,0.60,,,0.60,,0.40,0.90,
01-01-2018,8,0.30,0.70,,,0.20,,0.40,,0.60,,1.30,,,0.30,,0.50,,,0.50,,0.10,,,0.70,0.80,,0.50,,0.50,0.70,,,0.30,0.30,,,,0.40,,,0.40,0.60,,,0.50,,0.40,0.90,
01-01-2018,9,0.30,0.80,,,0.20,,0.40,,0.70,,0.80,,,0.50,,,,,0.50,,0.10,,,0.70,0.60,,0.40,,0.40,0.80,,,0.30,0.50,,,,0.50,,,0.30,0.60,,,0.40,,0.30,0.80,
01-01-2018,10,0.30,0.70,,,0.20,,0.40,,0.40,,0.40,,,0.20,,,,,0.60,,0.20,,,0.60,0.60,,0.30,,0.40,0.50,,,0.30,0.40,,,,0.30,,,0.30,0.70,,,0.40,,0.30,0.70,
