Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-06-2016,1,25,12,0,,,,49,20,,23,,25,21,,38,,0,37,,38,,,,40,39,,21,18,,,,16,,0,,9,,0,35,28,0,16,28,37,49,
01-06-2016,2,22,9,0,,,,40,12,,11,,18,26,,46,,0,29,,30,,,,31,26,,12,11,,,,22,,0,,10,,0,45,44,0,15,25,40,38,
01-06-2016,3,17,6,0,,,,42,16,,7,,16,9,,29,,0,27,,26,,,,33,25,,14,12,,,,25,,0,,9,,0,38,53,0,14,17,39,30,
01-06-2016,4,18,8,0,,,,35,15,,13,,24,11,,26,,0,38,,35,,,,41,42,,18,9,,,,19,,0,,10,,0,37,44,0,16,23,38,35,
01-06-2016,5,18,12,0,,,,46,20,,17,,23,15,,25,,0,39,,39,,,,47,39,,30,11,,,,26,,0,,16,,0,47,36,0,19,35,35,32,
01-06-2016,6,22,21,0,,,,45,23,,25,,28,36,,31,,0,52,,43,,,,48,37,,43,29,,,,37,,0,,18,,0,40,34,0,37,38,34,37,
01-06-2016,7,26,28,0,,,,43,28,,26,,42,25,,34,,0,49,,47,,,,47,39,,38,35,,,,43,,0,,26,,0,45,37,0,36,39,35,47,
01-06-2016,8,22,23,0,,,,47,42,,29,,45,19,,41,,0,49,,50,,,,47,43,,42,37,,,,38,,0,,26,,0,51,33,0,40,44,38,46,
01-06-2016,9,28,19,0,,,,57,47,,28,,53,14,,58,,0,53,,59,,,,55,56,,61,42,,,,18,,0,,21,,0,54,23,0,39,51,45,53,
01-06-2016,10,20,24,0,,,,56,53,,30,,57,16,,60,,0,62,,66,,,,68,57,,47,48,,,,44,,0,,17,,0,56,41,0,31,48,48,47,
01-06-2016,11,11,21,0,,,,60,43,,14,,51,16,,72,,0,62,,47,,,,42,69,,17,43,,,,37,,0,,9,,0,57,60,0,30,33,31,35,
01-06-2016,12,9,18,0,,,,60,33,,12,,40,14,,75,,0,56,,41,,,,40,58,,24,30,,,,13,,0,,10,,0,57,50,0,25,36,24,34,
01-06-2016,13,6,16,0,,,,55,28,,7,,36,28,,62,,0,52,,37,,,,44,44,,23,29,,,,19,,0,,12,,0,55,38,0,24,42,14,44,
01-06-2016,14,10,20,0,,,,36,31,,6,,39,25,,36,,0,49,,41,,,,47,40,,21,29,,,,23,,0,,19,,0,31,22,0,29,38,13,37,
01-06-2016,15,15,22,0,,,,35,34,,7,,40,30,,22,,0,39,,42,,,,44,27,,24,25,,,,23,,0,,14,,0,31,14,0,34,35,11,29,
01-06-2016,16,10,23,0,,,,35,20,,8,,26,12,,20,,0,38,,31,,,,40,18,,23,19,,,,12,,0,,14,,0,23,14,0,28,38,8,28,
