Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-07-2019,1,,23,15,,,20,,22,,13,,,26,41,30,32,28,15,18,22,,35,20,20,24,27,26,28,,21,28,23,,,,14,,,24,28,,23,,34,27,
01-07-2019,2,,24,22,,,33,,27,,29,,,26,42,47,36,38,31,13,31,,45,32,34,34,30,30,32,,24,38,26,,,,16,,,41,41,,22,,36,34,
01-07-2019,3,,33,26,,,45,,41,,33,,,39,32,48,40,40,39,13,39,,43,29,38,37,27,36,47,,22,39,36,,,,28,,,40,38,,27,,33,34,
01-07-2019,4,,34,29,,,43,,30,,28,,,38,20,46,34,29,30,15,34,,38,24,31,31,29,30,49,,24,37,36,,,,32,,,28,34,,22,,32,29,
01-07-2019,5,,33,28,,,21,,20,,23,,,37,16,39,27,21,26,26,21,,27,16,21,25,29,23,31,,25,24,33,,,,29,,,19,22,,21,,24,22,
01-07-2019,6,,18,21,,,14,,17,,18,,,26,2,24,23,20,16,25,14,,15,10,10,12,33,23,18,,19,14,27,,,,25,,,10,12,,18,,23,13,
01-07-2019,7,,12,17,,,4,,10,,7,,,13,2,21,15,10,6,19,5,,14,6,5,7,24,12,13,,10,9,19,,,,20,,,6,14,,10,,20,7,
01-07-2019,8,,13,21,,,5,,16,,12,,,28,13,21,20,14,7,22,9,,18,5,10,11,26,16,18,,14,16,22,,,,14,,,14,26,,16,,29,11,
01-07-2019,9,,21,35,,,16,,20,,22,,,27,23,23,26,19,13,24,19,,28,6,16,14,37,24,27,,25,24,24,,,,27,,,20,18,,28,,29,15,
01-07-2019,10,,27,39,,,31,,31,,37,,,32,25,23,33,29,30,26,36,,34,12,30,26,42,34,,,34,32,26,,,,38,,,23,21,,35,,29,24,
01-07-2019,11,,36,42,,,44,,40,,48,,,38,38,33,49,45,42,35,48,,53,24,47,38,44,49,,,43,49,35,,,,42,,,38,36,,48,,39,39,
01-07-2019,12,,42,48,,,62,,50,,,,,47,51,46,62,60,54,39,60,,66,34,60,51,48,53,,,47,,39,,,,44,,,49,50,,55,,60,52,
01-07-2019,13,,37,49,,,53,,42,,,,,50,65,66,66,70,54,43,57,,78,50,61,53,52,56,,,49,,42,,,,49,,,,67,,54,,76,64,
01-07-2019,14,,42,49,,,58,,49,,,,,49,72,64,64,64,56,,61,,69,51,62,49,49,56,,,47,,41,,,,,,,,81,,52,,75,58,
01-07-2019,15,,41,46,,,52,,42,,,,,33,57,54,55,55,47,40,49,,60,42,48,47,47,47,47,,42,,25,,,,38,,,48,54,,48,,58,45,
01-07-2019,16,,45,46,,,43,,39,,,,,38,55,50,54,48,36,44,44,,52,35,36,40,46,44,43,,41,,26,,,,37,,,36,52,,45,,52,48,
01-07-2019,17,,44,46,,,45,,38,,58,,,45,37,55,58,53,41,39,48,,52,41,33,44,48,43,44,,39,,40,,,,45,,,44,53,,46,,45,42,
01-07-2019,18,,45,50,,,49,,42,,59,,,31,36,51,59,47,44,30,49,,48,32,39,41,56,46,46,,40,,28,,,,49,,,40,53,,51,,55,40,
01-07-2019,19,,32,46,,,38,,36,,48,,,31,42,46,53,34,30,30,35,,40,32,25,31,51,41,31,,35,,22,,,,40,,,35,44,,47,,54,39,
01-07-2019,20,,22,32,,,30,,24,,51,,,29,34,44,54,26,24,18,21,,43,25,19,29,38,42,25,,29,,18,,,,31,,,27,41,,34,,46,37,
01-07-2019,21,,20,16,,,35,,34,,43,,,26,9,37,49,39,28,13,29,,35,22,26,31,31,36,32,,23,,26,,,,14,,,29,31,,29,,36,34,
01-07-2019,22,,30,14,,,36,,35,,32,,,37,12,35,47,23,27,15,24,,33,27,31,26,31,32,43,,26,,22,,,,17,,,38,27,,31,,23,30,
01-07-2019,23,,18,20,,,40,,31,,22,,,33,11,24,20,19,26,15,29,,35,18,41,17,31,19,33,,21,,4,,,,16,,,37,33,,35,,19,22,
01-07-2019,24,,24,31,,,31,,24,,23,,,5,9,15,19,21,28,18,26,,23,8,34,6,33,19,23,,12,21,2,,,,19,,,30,33,,35,,26,10,
02-07-2019,1,,24,33,,,25,,17,,29,,,5,2,13,17,14,33,13,31,,20,4,23,1,36,17,20,,23,13,6,,,,27,,,15,24,,20,,19,16,
02-07-2019,2,,30,35,,,25,,11,,33,,,11,1,9,20,15,25,14,29,,26,5,17,2,35,26,18,,30,19,9,,,,29,,,11,13,,22,,19,13,
02-07-2019,3,,29,33,,,19,,20,,29,,,10,3,10,28,18,17,11,26,,23,5,21,2,28,29,19,,30,25,9,,,,27,,,9,8,,23,,12,15,
02-07-2019,4,,28,20,,,25,,17,,15,,,8,1,7,33,19,19,11,16,,19,6,16,2,23,22,9,,30,18,9,,,,25,,,3,5,,22,,3,16,
02-07-2019,5,,19,15,,,11,,14,,2,,,8,1,4,18,20,5,10,9,,12,5,2,1,26,12,16,,26,13,3,,,,24,,,2,2,,15,,2,15,
02-07-2019,6,,14,12,,,4,,6,,1,,,0,1,3,3,4,2,10,5,,10,3,1,1,23,3,7,,21,5,1,,,,6,,,1,2,,6,,2,3,
02-07-2019,7,,19,11,,,5,,3,,2,,,1,1,3,4,2,5,10,4,,7,1,3,1,26,2,4,,7,4,2,,,,1,,,2,2,,2,,2,2,
02-07-2019,8,,22,18,,,12,,8,,10,,,13,3,5,11,5,15,7,11,,10,3,10,15,30,7,13,,17,7,7,,,,10,,,5,4,,10,,6,5,
02-07-2019,9,,25,26,,,21,,20,,20,,,23,14,12,20,17,17,13,23,,17,10,13,14,,22,21,,24,17,14,,,,29,,,12,9,,19,,22,12,
02-07-2019,10,,30,27,,,31,,30,,29,,,26,31,18,35,34,26,22,32,,36,16,21,26,,38,29,,33,26,23,,,,36,,,21,33,,31,,41,22,
02-07-2019,11,,40,31,,,41,,41,,43,,,36,46,42,44,49,,30,,,52,29,35,41,,50,42,,41,42,35,,,,41,,,41,49,,44,,52,41,
02-07-2019,12,,42,41,,,51,,46,,49,,,34,53,54,53,63,,32,,,57,38,50,51,,62,49,,50,54,42,,,,41,,,51,56,,50,,60,51,
02-07-2019,13,,37,44,,,43,,35,,44,,,26,56,36,60,54,,25,,,62,30,45,39,,62,37,,47,60,22,,,,42,,,48,68,,42,,59,52,
02-07-2019,14,,37,42,,,40,,39,,37,,,28,44,27,45,35,,28,,,39,20,,36,,45,35,,38,43,23,,,,,,,26,34,,48,,47,31,
02-07-2019,15,,37,44,,,41,,43,,42,,,34,26,34,37,38,41,34,45,,26,23,,34,,43,48,,38,32,36,,,,,,,30,33,,53,,43,23,
02-07-2019,16,,47,49,,,59,,53,,44,,,41,45,48,48,51,44,40,60,,40,35,,44,,48,53,,43,38,37,,,,,,,42,52,,53,,39,41,
02-07-2019,17,,50,53,,,70,,55,,42,,,34,56,36,42,57,52,30,66,,41,45,,45,,43,54,,41,35,31,,,,56,,,39,49,,58,,44,45,
02-07-2019,18,,41,44,,,52,,45,,45,,,31,49,25,40,44,36,27,61,,49,28,40,33,,50,39,,51,33,23,,,,53,,,32,47,,59,,35,40,
02-07-2019,19,,25,43,,,35,,31,,39,,,20,40,22,39,28,30,27,34,,19,24,30,22,,35,32,,45,23,15,,,,42,,,31,30,,48,,31,32,
02-07-2019,20,,28,35,,,24,,30,,33,,,15,24,25,29,24,19,23,26,,30,21,20,23,,26,27,,23,20,9,,,,34,,,23,27,,25,,27,17,
02-07-2019,21,,22,27,,,15,,14,,29,,,3,17,13,33,27,14,27,10,,29,12,12,15,,22,18,,19,21,8,,,,20,,,,22,,24,,21,19,
02-07-2019,22,,17,25,,,17,,12,,20,,,15,16,14,25,19,19,17,6,,23,11,16,16,,17,18,,21,20,16,,,,27,,,14,30,,16,,29,16,
02-07-2019,23,,22,25,,,14,,20,,16,,,21,21,11,31,18,19,9,16,,25,11,11,13,,18,23,,22,22,20,,,,21,,,16,14,,22,,27,14,
02-07-2019,24,,15,18,,,14,,15,,12,,,19,27,14,25,11,15,15,18,,18,9,12,14,,14,14,,21,22,14,,,,20,,,13,10,,15,,16,6,
03-07-2019,1,,18,25,,,14,,12,,9,,,16,19,16,13,17,14,15,18,,15,7,16,12,,23,14,,24,15,5,,,,21,,,13,10,,13,,13,9,
03-07-2019,2,,27,23,,,15,,15,,14,,,12,11,14,22,15,16,27,16,,23,10,14,13,,21,11,,24,18,10,,,,22,,,14,20,,14,,13,16,
03-07-2019,3,,21,21,,,16,,15,,17,,,15,7,12,22,10,17,28,13,,21,10,13,6,,20,14,,23,19,18,,,,18,,,12,26,,12,,22,10,
03-07-2019,4,,19,26,,,16,,12,,14,,,5,5,10,20,9,16,21,14,,15,10,7,12,,22,14,,19,17,13,,,,17,,,11,27,,16,,15,6,
03-07-2019,5,,15,20,,,12,,11,,4,,,15,1,7,18,7,7,8,10,,7,6,3,2,,8,12,,10,12,2,,,,13,,,4,11,,8,,8,5,
03-07-2019,6,,8,14,,,3,,6,,4,,,11,1,3,4,2,4,26,2,,5,3,1,1,16,0,4,,7,2,4,,,,9,,,2,6,,7,,2,3,
03-07-2019,7,,6,22,,,3,,5,,2,,,14,2,3,4,1,2,29,3,,6,1,2,2,17,2,4,,3,2,3,,,,2,,,3,6,,3,,2,2,
03-07-2019,8,,5,20,,,10,,10,,4,,,14,4,4,6,4,9,25,9,,9,1,6,8,22,7,11,,5,5,7,,,,3,,,4,11,,8,,5,4,
03-07-2019,9,,10,26,,,17,,17,,14,,,10,8,6,16,16,14,16,14,,21,8,9,12,24,10,12,,11,13,7,,,,6,,,12,13,,14,,10,6,
03-07-2019,10,,20,28,,,22,,22,,28,,,15,,16,26,25,16,23,21,,33,18,17,17,29,27,16,,24,26,13,,,,16,,,21,21,,24,,22,18,
03-07-2019,11,,28,30,,,33,,33,,40,,,24,,26,37,31,25,31,31,,37,23,29,26,36,34,32,,35,36,26,,,,,,,26,28,,36,,35,29,
03-07-2019,12,,40,36,,,44,,42,,49,,,36,,36,58,48,34,28,39,,47,32,36,34,40,46,44,,47,53,30,,,,,,,33,36,,48,,46,42,
03-07-2019,13,,51,49,,,53,,53,,55,,,43,,47,76,70,51,29,54,,56,41,56,45,43,71,54,,58,57,42,,,,,,,43,53,,63,,51,50,
03-07-2019,14,,68,56,,,74,,62,,58,,,52,46,53,73,68,69,30,79,,57,48,68,62,65,75,63,,80,55,51,,,,69,,,52,58,,79,,60,59,
03-07-2019,15,,69,66,,,75,,74,,55,,,62,43,67,71,67,65,51,71,,58,42,62,59,84,76,77,,71,55,56,,,,85,,,55,60,,98,,57,53,
03-07-2019,16,,66,44,,,64,,61,,48,,,55,41,68,66,60,48,62,56,,55,40,46,49,88,66,61,,68,54,49,,,,87,,,56,54,,81,,44,54,
03-07-2019,17,,60,57,,,52,,52,,51,,,56,39,65,57,49,46,55,53,,42,32,35,51,91,53,59,,57,42,40,,,,68,,,52,43,,77,,42,32,
03-07-2019,18,,49,68,,,54,,41,,49,,,43,26,58,42,15,48,50,51,,47,23,43,54,69,56,40,,62,36,19,,,,58,,,37,40,,66,,46,20,
03-07-2019,19,,52,69,,,45,,36,,45,,,53,28,43,42,22,34,26,36,,33,27,22,42,63,63,40,,60,25,27,,,,58,,,25,39,,56,,39,21,
03-07-2019,20,,34,31,,,25,,37,,28,,,33,23,14,38,26,26,16,21,,27,21,19,24,51,28,45,,35,26,10,,,,42,,,21,38,,41,,27,20,
03-07-2019,21,,31,20,,,25,,28,,18,,,14,19,14,27,24,19,24,13,,21,17,8,22,53,18,35,,31,13,8,,,,19,,,14,18,,28,,18,16,
03-07-2019,22,,40,13,,,20,,20,,5,,,7,14,12,22,14,9,23,12,,17,7,6,14,55,9,20,,20,12,12,,,,21,,,11,9,,15,,14,6,
03-07-2019,23,,39,12,,,5,,18,,4,,,9,9,19,14,2,7,18,2,,12,7,1,6,51,11,23,,7,10,7,,,,22,,,5,13,,2,,11,3,
03-07-2019,24,,27,7,,,6,,16,,1,,,4,3,17,12,1,1,18,1,,13,7,1,10,42,11,20,,10,10,6,,,,18,,,6,15,,3,,18,3,
04-07-2019,1,,19,7,,,9,,16,,1,,,4,1,13,8,2,8,18,2,,15,4,3,4,40,4,22,,12,14,9,,,,14,,,6,17,,12,,14,3,
04-07-2019,2,,16,12,,,6,,11,,1,,,3,1,11,8,4,12,16,7,,6,1,3,4,34,11,18,,9,8,9,,,,10,,,6,19,,6,,15,4,
04-07-2019,3,,23,7,,,3,,9,,1,,,5,1,5,5,1,5,17,1,,5,1,3,1,24,12,19,,8,3,13,,,,12,,,9,10,,7,,5,2,
04-07-2019,4,,20,5,,,4,,4,,1,,,5,1,3,5,4,2,17,3,,5,1,2,4,22,7,17,,3,3,12,,,,9,,,4,13,,1,,4,1,
04-07-2019,5,,24,2,,,3,,2,,1,,,2,1,3,4,1,1,15,1,,5,1,1,2,23,1,13,,1,2,3,,,,7,,,2,4,,1,,2,2,
04-07-2019,6,,19,2,,,2,,1,,2,,,0,1,3,3,1,1,16,1,,5,1,1,1,22,1,7,,2,1,1,,,,1,,,1,2,,1,,2,3,
