Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,LVI,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-01-2013,1,6,,,4,,7,,,,5,,,,3,4,8,,8,6,,,6,2,,,1,8,8,,7,,,3,10,0,4,6,,13,10,
01-01-2013,2,9,,,4,,8,,,,4,,,,5,4,9,,9,6,,,6,2,,,1,10,7,,7,,,6,15,0,5,7,,16,12,
01-01-2013,3,8,,,4,,10,,,,4,,,,4,5,8,,11,8,,,7,2,,,1,11,7,,7,,,7,10,0,3,6,,20,19,
01-01-2013,4,6,,,3,,10,,,,4,,,,4,4,7,,9,7,,,5,3,,,1,11,4,,7,,,5,9,0,5,6,,11,15,
01-01-2013,5,7,,,3,,9,,,,3,,,,3,3,4,,8,4,,,3,2,,,1,8,5,,5,,,5,9,0,4,4,,8,12,
01-01-2013,6,6,,,2,,7,,,,3,,,,2,3,3,,9,3,,3,3,2,,,0,8,4,,5,,,3,10,0,3,3,,9,10,
01-01-2013,7,5,,,2,,5,,,,3,,2,,1,3,3,,9,2,,3,3,2,,,0,7,4,,5,,,3,8,0,3,3,,6,8,
01-01-2013,8,4,,,1,,5,,,,3,,2,,1,4,4,,11,3,,4,3,2,,,0,4,3,,5,,,3,6,0,2,3,,5,8,
01-01-2013,9,5,,,2,,6,,,,4,,2,,4,6,5,,11,5,,6,2,2,,,1,7,3,,5,,,5,8,1,3,4,,6,10,
01-01-2013,10,5,,,5,,7,,,,3,,2,,5,6,4,,10,6,,6,4,2,,,1,8,3,,4,,,6,9,1,4,,,6,8,
01-01-2013,11,4,,,6,,6,,,,3,,2,,3,5,2,,7,4,,4,3,2,,,1,4,4,,4,,,4,8,1,2,3,,6,5,
01-01-2013,12,2,,,2,,4,,,,2,,2,,3,3,1,,5,2,,2,1,2,,,1,4,2,,4,,,2,4,1,1,2,,4,3,
01-01-2013,13,2,,,2,,3,,,,2,,2,,3,2,0,,4,2,,1,0,2,,,1,3,1,,4,,,3,2,0,1,1,,2,3,
01-01-2013,14,1,,,2,,2,,,,2,,2,,2,1,0,,3,1,,0,1,2,,,1,3,1,,4,,,1,2,0,1,1,,1,2,
01-01-2013,15,1,,,1,,2,,,,2,,2,,1,1,0,,3,1,,1,1,2,,,1,3,1,,4,,,1,2,0,1,1,,1,2,
01-01-2013,16,1,,,1,,2,,,,2,,2,,1,1,0,,2,1,,1,1,2,,,0,3,1,,4,,,0,2,,1,1,,0,2,
01-01-2013,17,1,,,1,,2,,,,2,,1,,1,2,0,,2,1,,0,1,2,,,0,3,1,,3,,,0,2,1,1,1,,1,2,
01-01-2013,18,1,,,1,,2,,,,2,,2,,1,2,0,,2,0,,0,0,2,,,0,3,1,,3,,,0,2,1,1,1,,1,2,
01-01-2013,19,1,,,1,,2,,,,2,,2,,1,3,0,,1,1,,0,1,2,,,0,3,1,,4,,,0,2,1,1,1,,1,2,
01-01-2013,20,1,,,1,,3,,,,2,,2,,1,2,1,,2,1,,1,1,2,,,0,3,2,,3,,,1,2,1,1,1,,1,2,
01-01-2013,21,2,,,5,,3,,,,2,,2,,3,2,1,,2,2,,1,1,2,,,1,4,2,,4,,,1,3,1,1,2,,1,3,
01-01-2013,22,2,,,40,,11,,,,2,,2,,16,2,1,,2,2,,2,1,3,,,1,5,2,,4,,,34,20,1,1,2,,2,4,
01-01-2013,23,2,,,24,,49,,,,2,,2,,37,27,13,,2,2,,17,1,3,,,1,5,6,,3,,,40,27,1,1,2,,14,4,
01-01-2013,24,1,,,12,,29,,,,2,,3,,14,,39,,1,1,,32,1,,,,1,4,11,,3,,,19,34,2,1,1,,19,4,
02-01-2013,1,1,,,18,,27,,,,2,,4,,9,,25,,4,1,,23,6,,,,2,7,7,,5,,,26,26,3,3,3,,15,3,
02-01-2013,2,2,,,6,,20,,,,2,,4,,4,,21,,5,6,,24,15,,,,3,25,6,,4,,,21,56,2,3,13,,11,5,
02-01-2013,3,3,,,5,,19,,,,2,,3,,5,,24,,8,6,,24,25,,,,2,36,9,,3,,,22,44,2,11,27,,13,6,
02-01-2013,4,3,,,7,,31,,,,2,,7,,5,,20,,10,5,,25,24,,,,3,36,20,,3,,,29,25,3,18,24,,26,8,
02-01-2013,5,2,,,13,,26,,,,2,,6,,7,,18,,10,6,,23,12,,,,2,28,18,,3,,,33,18,4,7,22,,24,9,
02-01-2013,6,3,,,17,,26,,,,2,,6,,12,24,20,,10,7,,20,12,4,,,2,20,18,,3,,,23,31,4,10,19,,26,12,
02-01-2013,7,3,,,13,,30,,,,2,,4,,16,25,20,,24,8,,19,9,3,,,2,16,19,,3,,,23,36,4,11,16,,38,12,
02-01-2013,8,2,,,11,,28,,,,2,,4,,17,20,13,,22,9,,14,6,4,,,4,12,16,,3,,,29,33,4,6,9,,26,15,
02-01-2013,9,2,,,16,,18,,,,2,,7,,18,13,6,,23,8,,10,3,4,,,7,11,6,,3,,,28,28,6,2,6,,21,13,
02-01-2013,10,3,,,17,,10,,,,3,,9,,22,11,6,,9,6,,8,2,4,,,11,8,6,,3,,,20,25,9,2,3,,26,8,
02-01-2013,11,3,,,14,,8,,,,3,,5,,18,7,4,,5,5,,5,2,5,,,8,6,4,,2,,,9,12,2,1,1,,18,8,
02-01-2013,12,3,,,7,,6,,,,3,,8,,8,3,1,,4,3,,2,1,4,,,6,4,2,,3,,,5,6,1,1,,,4,4,
02-01-2013,13,2,,,4,,2,,,,2,,5,,4,2,1,,2,2,,1,1,3,,,4,3,1,,3,,,3,3,1,3,,,2,24,
02-01-2013,14,1,,,2,,2,,,,2,,2,,2,2,0,,2,2,,1,1,2,,,1,3,1,,3,,,1,2,1,2,,,1,8,
02-01-2013,15,1,,,1,,2,,,,3,,2,,2,2,1,,1,2,,1,0,2,,,1,3,1,,2,,,1,1,1,1,,,1,4,
02-01-2013,16,1,,,1,,2,,,,2,,2,,2,2,0,,1,1,,1,0,2,,,1,3,1,,2,,,0,2,1,1,,,0,3,
02-01-2013,17,1,,,1,,2,,,,3,,2,,2,1,0,,1,1,,1,1,2,,,1,3,1,,2,,,1,2,1,1,1,,1,2,
02-01-2013,18,1,,,1,,2,,,,2,,2,,2,2,0,,1,1,,1,1,2,,,0,3,1,,2,,,0,2,1,1,1,,1,4,
02-01-2013,19,1,,,1,,2,,,,2,,2,,2,2,1,,1,1,,1,1,2,,,1,4,1,,3,,,1,2,1,1,1,,1,2,
02-01-2013,20,1,,,1,,2,,,,2,,2,,3,2,0,,1,1,,2,1,2,,,1,4,1,,3,,,1,2,1,1,1,,2,3,
02-01-2013,21,1,,,1,,2,,,,2,,2,,3,2,0,,2,2,,1,1,2,,,1,3,1,,3,,,2,2,1,1,1,,1,3,
02-01-2013,22,2,,,1,,2,,,,2,,2,,1,2,0,,2,2,,1,1,1,,,1,3,1,,2,,,1,3,1,1,0,,1,3,
02-01-2013,23,1,,,1,,3,,,,2,,2,,2,2,0,,3,1,,1,1,1,,,1,3,1,,3,,,1,3,1,1,1,,3,4,
02-01-2013,24,1,,,1,,3,,,,3,,1,,2,2,0,,2,2,,1,1,2,,,0,3,1,,3,,,1,2,1,1,1,,1,,
03-01-2013,1,2,,,2,,4,,,,3,,0,,1,1,0,,2,1,,0,2,2,,,0,4,1,,3,,,1,3,1,1,1,,1,,
03-01-2013,2,1,,,1,,3,,,,2,,1,,2,1,0,,2,1,,0,2,2,,,0,4,1,,3,,,2,4,1,1,1,,1,,
03-01-2013,3,1,,,1,,4,,,,2,,1,,1,1,0,,2,1,,0,1,2,,,0,3,1,,3,,,3,3,1,1,1,,1,,
03-01-2013,4,1,,,1,,4,,,,2,,1,,1,3,0,,1,1,,1,1,2,,,0,3,1,,2,,,1,3,1,1,1,,34,,
03-01-2013,5,1,,,1,,3,,,,2,,1,,1,3,1,,8,1,,3,2,2,,,0,3,1,,3,,,8,121,1,1,1,,105,,
03-01-2013,6,1,,,12,,15,,,,2,,1,,1,4,2,,101,1,,4,5,2,,,0,3,2,,2,,,90,261,1,1,1,,266,7,
03-01-2013,7,7,,,22,,110,,,,2,,3,,8,51,7,,178,1,,18,44,2,,,1,4,3,,3,,,192,140,1,1,4,,163,10,
03-01-2013,8,9,,,15,,149,,,,3,,27,,14,122,52,,113,2,,90,165,3,,,15,15,7,,3,,,124,82,1,6,7,,145,14,
03-01-2013,9,11,,,16,,92,,,,2,,67,,27,97,115,,102,14,,122,101,6,,,37,86,55,,13,,,71,63,2,30,97,,124,60,
03-01-2013,10,10,,,24,,72,,,,13,,37,,34,97,90,,88,54,,85,51,10,,,28,81,72,,67,,,56,60,12,59,74,,100,90,
03-01-2013,11,7,,,17,,54,,,,6,,23,,,59,47,,63,40,,48,32,8,,,18,56,39,,25,,,33,38,18,37,35,,86,50,
03-01-2013,12,7,,,14,,36,,,,3,,20,,,31,20,,28,25,,24,14,10,,,14,18,31,,5,,,28,25,21,26,21,,46,22,
03-01-2013,13,4,,,18,,19,,,,2,,20,,,17,11,,12,11,,13,3,9,,,18,11,17,,4,,,23,24,10,8,8,,27,11,
03-01-2013,14,1,,,16,,9,,,,2,,17,,,4,1,,6,7,,4,1,6,,,16,6,2,,3,,,11,20,1,1,1,,10,7,
03-01-2013,15,1,,,8,,4,,,,3,,6,,,3,1,,3,2,,1,1,4,,,10,3,2,,3,,,3,7,1,1,1,,4,4,
03-01-2013,16,1,,,3,,3,,,,2,,2,,2,2,1,,3,2,,1,1,3,,,3,3,2,,3,,,2,4,1,1,1,,1,3,
03-01-2013,17,,,,2,,3,,,,2,,2,,2,2,1,,2,1,,1,1,2,,,1,3,2,,3,,,1,3,1,1,1,,1,3,
03-01-2013,18,1,,,2,,3,,,,2,,2,,1,2,1,,2,2,,1,1,2,,,1,2,2,,3,,,1,3,1,1,1,,1,7,
03-01-2013,19,1,,,70,,3,,,,2,,2,,6,2,1,,2,2,,1,1,2,,,1,3,2,,3,,,22,17,1,1,1,,2,10,
03-01-2013,20,1,,,85,,64,,,,2,,2,,117,6,1,,2,2,,2,3,2,,,2,5,2,,4,,,76,7,1,1,1,,2,6,
03-01-2013,21,2,,,69,,18,,,,2,,2,,99,54,3,,3,,,11,4,5,,,2,6,10,,3,,,6,4,1,1,2,,2,7,
03-01-2013,22,1,,,51,,6,,,,3,,8,,48,13,4,,3,2,,5,3,11,,,12,6,56,,4,,,4,3,3,19,4,,3,7,
03-01-2013,23,1,,,197,,7,,,,2,,14,,110,30,22,,4,2,,9,8,8,,,11,5,33,,4,,,8,4,4,38,18,,8,5,
03-01-2013,24,2,,,228,,38,,,,2,,16,,237,77,48,,7,3,,32,7,8,,,13,5,27,,11,,,134,8,2,,23,,30,4,
04-01-2013,1,19,,,164,,24,,,,2,,15,,219,82,50,,43,2,,22,4,7,,,8,6,70,,15,,,111,86,1,,17,,120,5,
04-01-2013,2,22,,,75,,79,,,,5,,9,,111,108,29,,137,3,,16,28,7,,,6,7,127,,7,,,96,240,1,,5,,114,6,
04-01-2013,3,5,,,45,,93,,,,3,,9,,48,112,122,,201,4,,102,65,5,,,6,30,153,,9,,,96,180,2,,17,,151,7,
04-01-2013,4,6,,,22,,50,,,,5,,6,,22,78,80,,128,18,,67,66,6,,,6,35,52,,8,,,34,120,2,,49,,162,39,
04-01-2013,5,5,,,13,,28,,,,4,,10,,13,55,73,,151,35,,75,54,6,,,10,36,37,,8,,,45,93,2,,67,,198,75,
04-01-2013,6,3,,,7,,25,,,,3,,19,,9,76,110,,143,33,,95,74,7,,,14,50,52,,8,,,58,100,3,4,69,,149,86,
04-01-2013,7,10,,,11,,37,,,,5,,17,,9,87,128,,117,28,,95,159,7,,,14,57,54,,9,,,67,104,2,12,130,,125,95,
04-01-2013,8,3,,,15,,32,,,,5,,21,,9,108,121,,103,33,,93,94,10,,,18,46,79,,10,,,64,105,3,69,122,,127,81,
04-01-2013,9,3,,,26,,51,,,,8,,18,,13,102,88,,96,51,,88,61,13,,,19,68,111,,14,,,49,83,11,75,95,,111,88,
04-01-2013,10,6,,,45,,52,,,,13,,18,,42,96,83,,79,47,,84,67,14,,,25,82,79,,24,,,60,66,23,50,85,,91,84,
04-01-2013,11,26,,,53,,50,,,,12,,20,,49,85,76,,69,42,,77,67,16,,,23,75,63,,42,,,57,61,28,65,73,,70,61,
