Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,LVI,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-05-2011,1,4,,,1,,,,,,3,,,,2,,4,,,3,,,,4,,2,,,2,,0,,,3,6,,,2,,2,6,
01-05-2011,2,4,,,1,,,,,,4,,,,2,,5,,,2,,,,3,,2,,,1,,0,,,1,5,,,3,,2,4,
01-05-2011,3,4,,,1,,,,,,6,,,,2,,6,,,2,,,,3,,2,,,1,,0,,,1,4,,,2,,2,4,
01-05-2011,4,4,,,1,,,,,,4,,,,2,,6,,,2,,,,3,,2,,,1,,1,,,1,5,,,3,,1,4,
01-05-2011,5,4,,,1,,,,,,5,,,,1,,6,,,1,,,,3,,1,,,1,,1,,,1,5,,,2,,1,5,
01-05-2011,6,4,,,1,,,,,,6,,,,1,,6,,,2,,,,2,,1,,,1,,2,,,1,5,,,3,,1,5,
01-05-2011,7,4,,,2,,,,,,6,,,,2,,6,,,2,,,,3,,1,,,3,,3,,,2,6,,,3,,2,6,
01-05-2011,8,6,,,3,,,,,,5,,,,2,,7,,,2,,,,4,,2,,,3,,,,,2,16,,,4,,2,6,
01-05-2011,9,6,,,4,,,,,,5,,,,3,,6,,,3,,,,4,,2,,,3,,,,,5,12,,,4,,2,6,
01-05-2011,10,5,,,3,,,,,,3,,,,3,,7,,,3,,,,5,,3,,,2,,,,,14,8,,,4,,3,7,
01-05-2011,11,5,,,2,,,,,,3,,,,4,,7,,,3,,,,5,,2,,,3,,,,,6,6,,,6,,3,8,
01-05-2011,12,4,,,1,,,,,,5,,,,2,,5,,,2,,,,4,,2,,,3,,,,,2,6,,,4,,2,6,
01-05-2011,13,4,,,1,,,,,,4,,,,2,,6,,,2,,,,4,,1,,,2,,,,,2,5,,,4,,4,4,
01-05-2011,14,9,,,4,,,,,,3,,,,2,,,,,3,,,,4,,3,,,3,,,,,3,,,,3,,30,6,
01-05-2011,15,11,,,15,,,,,,3,,,,8,,,,,18,,,,3,,13,,,2,,,,,17,27,,,2,,13,19,
01-05-2011,16,6,,,15,,,,,,4,,,,11,,,,,11,,,,4,,6,,,2,,,,,19,12,,,,,4,12,
01-05-2011,17,5,,,5,,,,,,3,,,,12,,,,,3,,,,11,,3,,,7,,,,,7,7,,,9,,4,6,
01-05-2011,18,4,,,2,,,,,,3,,,,5,,,,,3,,,,14,,3,,,6,,,,,4,6,,,3,,3,6,
01-05-2011,19,4,,,1,,,,,,3,,,,3,,5,,,2,,,,4,,2,,,2,,,,,3,5,,,3,,3,5,
01-05-2011,20,3,,,1,,,,,,4,,,,2,,5,,,2,,,,4,,2,,,3,,,,,1,5,,,3,,2,4,
01-05-2011,21,3,,,1,,,,,,3,,,,1,,5,,,2,,,,3,,1,,,,,,,,1,5,,,2,,2,5,
01-05-2011,22,3,,,0,,,,,,5,,,,1,,4,,,2,,,,3,,1,,,,,,,,1,5,,,2,,2,4,
01-05-2011,23,3,,,0,,,,,,3,,,,1,,4,,,2,,,,3,,1,,,2,,,,,1,5,,,2,,2,4,
01-05-2011,24,3,,,1,,,,,,3,,,,1,,4,,,1,,,,3,,1,,,0,,,,,1,5,,,2,,3,3,
02-05-2011,1,3,,,1,,,,,,3,,,,1,,4,,,1,,,,3,,1,,,1,,,,,1,4,,,2,,3,3,
02-05-2011,2,3,,,0,,,,,,2,,,,1,,4,,,1,,,,3,,1,,,1,,,,,10,5,,,2,,3,4,
02-05-2011,3,3,,,0,,,,,,3,,,,1,,4,,,1,,,,3,,1,,,1,,,,,,5,,,2,,4,4,
02-05-2011,4,3,,,0,,,,,,2,,,,1,,4,,,1,,,,3,,1,,,1,,,,,1,4,,,2,,3,4,
02-05-2011,5,3,,,0,,,,,,3,,,,1,,4,,,1,,,,3,,1,,,1,,,,,1,5,,,2,,3,6,
02-05-2011,6,4,,,1,,,,,,4,,,,3,,5,,,1,,,,3,,1,,,2,,,,,2,6,,,2,,2,6,
02-05-2011,7,5,,,3,,,,,,5,,,,5,,6,,,3,,,,4,,1,,,2,,,,,4,8,,,3,,2,9,
02-05-2011,8,6,,,6,,,,,,6,,,,4,,6,,,3,,,,4,,2,,,,,,,,4,10,,,5,,3,15,
02-05-2011,9,6,,,6,,,,,,10,,,,4,,7,,,3,,,,4,,3,,,,,,,,5,7,,,4,,3,14,
02-05-2011,10,6,,,7,,,,,,4,,,,4,,8,,,5,,,,4,,3,,,2,,,,,5,7,,,4,,4,9,
02-05-2011,11,5,,,5,,,,,,4,,,,3,,8,,,5,,,,4,,2,,,2,,,,,5,7,,,4,,4,7,
02-05-2011,12,5,,,4,,,,,,4,,,,3,,7,,,4,,,,4,,2,,,3,,,,,3,6,,,4,,3,7,
02-05-2011,13,10,,,3,,,,,,3,,,,3,,7,,,4,,,,5,,4,,,4,,,,,3,8,,,5,,15,7,
02-05-2011,14,12,,,22,,,,,,4,,,,11,,8,,,20,,,,5,,,,,3,,,,,21,25,,,7,,24,22,
02-05-2011,15,6,,,7,,,,,,7,,,,16,,,,,13,,,,12,,10,,,10,,6,,,12,10,,,16,,6,19,
02-05-2011,16,4,,,3,,,,,,6,,,,5,,,,,4,,5,,15,,2,,,14,,9,,,5,6,,,8,,3,6,
02-05-2011,17,3,,,2,,,,,,6,,,,3,,,,,3,,1,,6,,1,,,3,,2,,,2,5,,,3,,3,5,
02-05-2011,18,3,,,1,,,,,,4,,,,2,,5,,,2,,1,,4,,,,,2,,2,,,2,5,,,2,,2,4,
02-05-2011,19,3,,,1,,,,,,3,,,,1,,5,,,2,,0,,3,,,,,2,,0,,,1,4,,,2,,,4,
02-05-2011,20,2,,,1,,,,,,3,,,,1,,4,,,2,,0,,3,,,,,1,,0,,,1,4,,,2,,,3,
02-05-2011,21,3,,,0,,,,,,3,,,,1,,4,,,1,,0,,3,,1,,,1,,0,,,2,4,,,2,,,3,
02-05-2011,22,3,,,0,,,,,,4,,,,1,,4,,,2,,0,,4,,1,,,1,,0,,,6,4,,,2,,,3,
02-05-2011,23,2,,,0,,,,,,5,,,,1,,4,,,2,,0,,4,,1,,,1,,0,,,8,4,,,2,,,2,
02-05-2011,24,2,,,0,,,,,,3,,,,1,,4,,,1,,0,,3,,1,,,1,,0,,,4,4,,,2,,,3,
03-05-2011,1,2,,,0,,,,,,3,,,,1,,4,,,1,,0,,3,,1,,,1,,0,,,2,4,,,2,,,2,
03-05-2011,2,2,,,0,,,,,,3,,,,1,,4,,,1,,,,2,,0,,,1,,0,,,4,4,,,2,,3,3,
03-05-2011,3,2,,,0,,,,,,3,,,,0,,4,,,1,,,,3,,0,,,1,,0,,,2,4,,,2,,2,3,
03-05-2011,4,2,,,0,,,,,,3,,,,1,,4,,,1,,0,,3,,0,,,1,,0,,,2,4,,,2,,2,3,
