,HGM,MER,CAM
Enero,0.340661938534279,0.5823024054982817,0.5304166666666666
Febrero,0.4242962962962963,0.5142300194931774,0.45413533834586467
Marzo,0.31769662921348313,0.43070539419087134,0.400137741046832
Abril,0.22349570200573066,0.32834757834757833,0.285
Mayo,0.2941988950276243,0.3474341192787795,0.2952843273231623
Junio,0.23390557939914164,0.2960902255639098,0.2548340548340548
Julio,0.255433287482806,0.3026610644257703,0.31798063623789763
Agosto,0.2802238805970149,0.37089136490250696,0.2553867403314918
Septiembre,,0.3202486678507993,0.29642346208869813
Octubre,,0.45384615384615384,0.3398876404494382
Noviembre,,0.5324749642346209,0.417956204379562
Diciembre,,0.5144662921348315,0.5511177347242922
