,HGM,MER,CAM
Enero,0.2,0.4,0.4
Febrero,0.3,0.4,0.3
Marzo,0.2,0.3,0.3
Abril,0.2,0.3,0.2
Mayo,0.3,0.3,0.2
Junio,0.2,0.2,0.2
Julio,0.2,0.3,0.3
Agosto,0.3,0.3,0.2
Septiembre,,0.3,0.2
Octubre,,0.4,0.3
Noviembre,,0.5,0.3
Diciembre,,0.4,0.4
