,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,0.5,0.4,0.3,0.6005563282336579,0.6118530884808013,0.4816666666666667,0.4916287770393839,0.5550706410070739,0.4652081443980423
Febrero,0.3,0.3,0.3,0.44928684627575277,0.46354344122657587,0.4487767584097859,0.44019688791300216,0.46491187766824316,0.4368444927925695
Marzo,0.4,0.4,0.4,0.5034536891679748,0.5987804878048781,0.5115819209039548,0.40703793088093654,0.5051249936915615,0.4200172223999521
Abril,0.3,0.4,0.3,0.4083936324167872,0.5014970059880239,0.4875536480686695,0.3266237407436363,0.4007087106061461,0.4330819066207196
Mayo,0.3,0.3,0.3,0.3854972375690608,0.40631424375917774,0.36109375,0.31970275136701465,0.3488697058987435,0.3432360826189178
Junio,0.3,0.3,0.3,0.33411078717201165,0.41129271916790494,0.40632911392405063,0.234915134793397,0.2702351691184147,0.28101600120269665
Julio,0.3,0.3,0.2,0.30453900709219855,0.39102209944751387,0.27355836849507736,0.23945213027875836,0.2725618527044209,0.24449688879528483
Agosto,0.4,0.4,0.3,0.402231520223152,0.4346853146853147,0.34493758668515956,0.24906649615691234,0.30079214790386755,0.2657902843706566
Septiembre,0.3,0.4,0.3,0.3831818181818182,0.4675287356321839,0.3770562770562771,0.3040650970262056,0.3111504515336947,0.27982548960340337
Octubre,0.4,0.4,0.3,0.41253918495297803,0.4956276445698166,0.41195499296765115,0.29522544539938556,0.3623457117559399,0.36495877166300245
Noviembre,0.6,0.7,0.5,0.6687055476529161,0.7760174418604651,0.5952599388379204,0.4110848721963226,0.4622492440192386,0.4489826952780119
Diciembre,0.7,0.7,0.6,0.7610803324099723,0.8142657342657343,0.6746153846153846,0.4422492587360593,0.5071677956888418,0.4623433876281156
