,HGM,MER,CAM
Enero,,1.2,
Febrero,,0.8500000000000001,
Marzo,,0.8,
Abril,,0.5,
Mayo,,0.8,
Junio,,0.5,
Julio,,0.9,0.6
Agosto,,0.6,0.6
Septiembre,,0.5,0.6
Octubre,,0.6,0.5
Noviembre,,1.1,0.8
Diciembre,,1.4,1.2
