,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,,1.0,0.8,,1.2833103448275862,1.1521798365122617,,0.9161594525536121,0.8742734362226483
Febrero,0.8,0.9,0.8,0.960633484162896,1.1993911719939117,1.0575976845151955,0.6428187617906607,0.8279416849280267,0.7965392647111094
Marzo,0.8,0.8,0.8,0.9467586206896551,1.001123595505618,1.0019914651493598,0.5809651937047842,0.7035164849655463,0.6002815245857241
Abril,0.8,0.7,0.8,0.9494219653179191,0.888175182481752,1.0080000000000002,0.594608882610653,0.6746823152982245,0.7248701912558002
Mayo,0.6,0.6,0.5,0.8326332794830371,0.8161473087818698,0.7294117647058824,0.5276509703660407,0.5901988133351765,0.5819236650506445
Junio,0.8,0.7,0.6,0.9355167394468705,0.820695652173913,0.7460139860139859,0.45559910187466723,0.5625410890747803,0.4861040162866954
Julio,1.0,0.7,0.6,1.0133991537376588,0.7966339410939691,0.7123626373626373,0.4150126062333723,0.5052142740687249,0.419026080254693
Agosto,0.8,0.7,0.6,0.8777464788732393,0.8201388888888889,0.6658904109589041,0.4494604104936544,0.5805349627643538,0.4543354199760613
Septiembre,0.7,0.8,0.6,0.8314121037463977,0.9269956458635703,0.6955493741307371,0.4108120563641648,0.5527387953211779,0.47947533709453677
Octubre,0.6,0.8,0.7,0.8380884450784594,1.024823695345557,0.8490489130434781,0.5606030407598145,0.6176809908386264,0.5732819161873052
Noviembre,0.8,0.9,0.6,0.9811781609195402,1.09,0.7354748603351954,0.49291882663564873,0.5918912640891736,0.47901258950634573
Diciembre,1.1,1.3,1.0,1.2870503597122303,1.5298444130127298,1.234008097165992,0.688547162412703,0.879576484236831,0.7719254584789006
