,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,,1.3,,,1.5144736842105264,,,0.827162156754696,
Febrero,,1.2,,,1.4397865853658536,,,0.7942845166034374,
Marzo,,1.2,,,1.3776520509193777,,,0.5584870578394063,
Abril,,0.9,,,1.1040298507462687,,,0.6671886440138382,
Mayo,,,,,,,,,
Junio,,0.7,,,0.7695924764890283,,,0.4555563570060543,
Julio,,1.0,,,1.1294117647058823,,,0.5625987244369777,
Agosto,,0.8,,,0.939941690962099,,,0.4765226806860628,
Septiembre,,0.6,,,0.7553977272727274,,,0.5216227669540362,
Octubre,,0.7,,,0.8993055555555556,,,0.6419173868503019,
Noviembre,,1.0,,,1.2328530259365995,,,0.6677598731645409,
Diciembre,,1.6,,,1.8073873873873874,,,1.0066024920975274,
