,HGM,MER,CAM
Enero,0.5,0.5,0.5
Febrero,0.4,0.4,
Marzo,0.3,0.3,
Abril,0.3,,
Mayo,0.3,0.3,
Junio,0.2,0.3,
Julio,0.3,0.3,
Agosto,0.3,0.3,
Septiembre,0.2,0.3,0.3
Octubre,0.2,0.4,0.3
Noviembre,0.3,0.4,0.4
Diciembre,0.4,0.6,0.5
