,HGM,MER,CAM
Enero,0.8,1.0,0.9
Febrero,0.6,0.7,0.6
Marzo,0.5,0.7,0.6
Abril,0.5,0.6,0.6
Mayo,0.5,0.8,0.6
Junio,0.4,0.6,0.5
Julio,0.4,0.7,0.4
Agosto,0.3,0.4,0.3
Septiembre,0.3,0.5,0.3
Octubre,0.6,0.5,0.5
Noviembre,0.7,0.7,0.5
Diciembre,0.7,0.9,
