,HGM,MER,CAM
Enero,1.0,1.0,1.0
Febrero,0.9,1.1,0.8
Marzo,0.7,0.9,0.6
Abril,0.8,1.0,0.7
Mayo,0.7,1.0,0.8
Junio,0.6,0.9,0.6
Julio,0.6,0.9,0.5
Agosto,0.6,0.8,0.5
Septiembre,0.8,1.0,0.7
Octubre,0.8,1.0,0.6
Noviembre,0.8,1.0,0.6
Diciembre,1.0,1.2,0.8
