Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-08-2014,1,7,,11,,8,5,,,20,7,2,4,16,8,8,,,,6,9,3,,14,7,,,,20,,,7,,,16,,16,7,
01-08-2014,2,2,,12,,6,6,,,12,2,7,2,12,4,5,,,,5,9,7,,10,13,,,,20,,,7,,,15,,10,4,
01-08-2014,3,2,,12,,7,27,,,14,13,11,1,10,6,9,,,,7,4,16,,4,14,,,,14,,,4,3,30,24,4,6,5,
01-08-2014,4,3,,10,,1,23,,,4,23,13,1,5,13,20,,,,11,5,17,,2,17,,,,24,,,7,2,29,25,15,7,3,
01-08-2014,5,1,,4,,1,14,,,7,14,7,1,4,1,8,,,,4,3,12,,1,9,,,,10,,,0,2,27,16,5,3,2,
01-08-2014,6,1,,2,,1,3,,,5,3,2,1,3,1,2,,,,1,5,4,,2,5,,,,5,,,1,2,26,8,1,2,2,
01-08-2014,7,2,,2,,1,2,,,2,2,4,1,3,1,3,,,,1,2,0,,2,1,,,,9,,,2,2,25,9,1,2,3,
01-08-2014,8,7,,3,,3,5,,,7,3,16,4,5,3,5,,,,4,8,3,,3,3,,,,15,,,3,5,15,12,6,5,4,
01-08-2014,9,17,,12,,9,11,,,18,9,20,8,10,9,12,,,,10,12,8,,11,10,,,,26,,,6,9,15,20,14,15,14,
01-08-2014,10,30,,20,,18,24,,,26,20,27,20,18,21,27,,,,21,25,21,,23,23,,,,35,,,18,21,21,33,29,22,25,
01-08-2014,11,41,,26,,38,,,,34,35,35,35,34,38,45,,,,35,41,36,,,37,,,,45,,,32,37,36,47,42,35,38,
01-08-2014,12,52,,50,,55,,,,45,60,52,48,51,,59,,,,55,64,53,,,52,,,,52,,,52,50,51,60,60,50,52,
01-08-2014,13,56,,61,,69,82,,,58,73,67,53,63,69,70,,,,70,66,,,57,71,,,,68,,,56,59,72,81,68,59,57,
01-08-2014,14,68,,59,,74,100,,,71,92,83,56,73,80,82,,,,75,69,85,,64,85,,,,91,,,65,59,93,86,70,65,59,
01-08-2014,15,66,,57,,77,96,,,71,87,91,61,72,78,80,,,,73,74,88,,67,92,,,,79,,,63,58,100,79,78,68,63,
01-08-2014,16,62,,61,,67,97,,,62,85,78,63,63,71,78,,,,65,68,86,,66,84,,,,81,,,66,59,91,81,72,70,63,
01-08-2014,17,57,,60,,64,82,,,56,73,71,57,63,66,69,,,,58,65,72,,65,77,,,,75,,,64,59,85,79,69,67,63,
01-08-2014,18,45,,49,,53,,,,54,58,70,42,61,53,52,,,,50,48,59,,45,70,,,,67,,,52,46,66,66,53,42,48,
01-08-2014,19,42,,34,,39,49,,,51,43,52,32,38,39,35,,,,33,38,45,,30,49,,,,48,,,35,33,49,53,39,38,27,
01-08-2014,20,32,,30,,26,33,,,34,29,37,28,39,23,25,,,,23,31,30,,28,34,,,,41,,,33,28,39,40,32,30,25,
01-08-2014,21,28,,22,,16,28,,,19,23,31,27,30,22,17,,,,12,22,25,,23,29,,,,41,,,28,21,27,34,22,26,28,
01-08-2014,22,29,,19,,14,20,,,19,20,26,22,22,18,20,,,,23,22,19,,11,26,,,,31,,,21,17,25,24,15,21,30,
01-08-2014,23,31,,20,,15,20,,,22,14,27,24,21,12,18,,,,17,16,21,,18,27,,,,23,,,11,18,20,24,18,20,29,
01-08-2014,24,26,,20,,19,29,,,20,,30,,25,14,13,,,,13,22,25,,,24,,,,21,,,13,20,30,23,14,,23,
02-08-2014,1,29,,9,,21,29,,,18,,29,,22,17,18,,,,14,25,25,,,27,18,,,26,,,14,17,35,26,10,,28,
02-08-2014,2,23,,17,,13,26,,,10,,33,,13,13,15,,,,10,23,24,,,23,23,,,29,,,14,23,26,27,10,,25,
02-08-2014,3,14,,17,,8,31,,,2,23,14,2,8,13,14,,,,11,23,26,,19,18,13,,,27,,,10,17,22,28,11,15,16,
02-08-2014,4,6,,18,,2,24,,,0,18,3,1,9,10,15,,,,9,18,20,,9,19,5,,,20,,,4,8,21,26,13,13,7,
02-08-2014,5,7,,17,,7,9,,,0,9,3,1,10,10,6,,,,1,15,18,,1,11,2,,,22,,,3,2,16,14,5,5,2,
02-08-2014,6,3,,10,,3,9,,,0,3,1,1,6,4,2,,,,2,9,12,,0,6,1,,,17,,,2,2,14,11,1,5,2,
02-08-2014,7,2,,4,,1,3,,,1,2,3,2,4,2,2,,,,1,4,4,,1,6,2,,,13,,,2,2,9,9,1,4,3,
02-08-2014,8,9,,11,,4,9,,,3,12,11,3,8,6,7,,,,4,10,13,,4,11,4,,,17,,,4,5,12,11,5,17,5,
02-08-2014,9,21,,20,,11,25,,,11,23,21,14,22,16,19,,,,11,16,27,,14,25,13,,,,,,11,15,24,24,13,23,12,
02-08-2014,10,35,,29,,26,38,,,31,29,35,24,35,27,33,,,,27,29,34,,29,33,31,,,33,,,29,27,36,34,29,30,26,
02-08-2014,11,50,,40,,41,48,,,57,45,48,34,45,39,43,,,,40,42,43,,43,47,49,,,52,,,40,41,48,53,43,41,44,
02-08-2014,12,61,,46,,74,68,,,69,63,61,49,63,58,68,,,,61,67,56,,53,60,69,,,,,,62,50,61,70,65,58,58,
02-08-2014,13,62,,55,,83,91,,,79,87,74,55,74,73,80,,,,69,72,77,,68,77,68,,,85,,,65,58,78,88,76,67,60,
02-08-2014,14,50,,57,,69,92,,,74,79,90,60,70,69,73,,,,66,69,93,,64,95,72,,,85,,,64,58,98,85,71,66,62,
02-08-2014,15,45,,56,,62,82,,,66,74,78,58,63,62,69,,,,57,62,75,,55,77,64,,,72,,,60,53,82,77,70,52,55,
02-08-2014,16,43,,54,,55,68,,,63,61,64,52,61,52,56,,,,45,46,60,,41,65,52,,,56,,,55,50,67,65,55,48,45,
02-08-2014,17,42,,45,,46,53,,,68,48,58,43,53,42,41,,,,40,44,48,,39,56,46,,,54,,,47,41,53,52,46,44,41,
02-08-2014,18,40,,39,,43,46,,,72,43,46,39,43,37,39,,,,38,40,40,,38,45,43,,,63,,,42,37,44,48,42,42,38,
02-08-2014,19,35,,34,,38,41,,,72,38,39,32,37,34,34,,,,33,34,36,,32,38,37,,,65,,,35,32,39,43,36,36,31,
02-08-2014,20,31,,26,,29,35,,,59,31,32,25,32,27,26,,,,27,26,31,,23,33,30,,,45,,,29,28,33,36,28,30,25,
02-08-2014,21,28,,25,,26,29,,,50,27,28,23,24,24,21,,,,23,23,27,,20,28,25,,,54,,,25,24,25,28,24,25,19,
02-08-2014,22,23,,22,,23,21,,,37,20,22,19,18,20,21,,,,23,22,17,,20,21,27,,,28,,,17,15,19,23,20,23,17,
02-08-2014,23,19,,21,,21,15,,,21,19,26,16,19,17,24,,,,20,23,11,,19,26,26,,,25,,,14,17,18,24,23,21,16,
02-08-2014,24,22,,18,,16,18,,,11,10,27,12,22,16,21,,,,21,25,17,,19,28,22,,,22,,,15,17,18,25,21,22,23,
03-08-2014,1,,,11,,13,22,,,16,11,28,16,26,9,20,,,,18,24,19,,18,26,24,,,23,,,17,18,19,19,21,22,29,
03-08-2014,2,,,15,,14,26,,,16,21,30,17,28,13,14,,,,14,23,22,,23,29,28,,,25,,,16,17,15,25,15,21,32,
03-08-2014,3,,,12,,12,30,,,5,25,27,12,27,16,13,,,,13,20,26,,20,29,26,,,24,,,21,20,9,26,10,23,32,
03-08-2014,4,,,14,,21,27,,,3,26,28,4,27,10,13,,,,14,18,24,,20,24,17,,,21,,,14,24,6,22,10,18,26,
03-08-2014,5,,,11,,12,28,,,0,21,26,1,23,10,15,,,,13,16,24,,13,28,24,,,17,,,10,13,8,22,12,5,26,
03-08-2014,6,,,15,,6,25,,,0,21,29,1,17,10,9,,,,3,11,21,,15,25,9,,,17,,,9,5,15,20,4,2,21,
03-08-2014,7,,,14,,2,16,,,1,10,24,2,7,4,5,,,,3,6,14,,3,11,3,,,16,,,7,5,7,11,1,2,6,
03-08-2014,8,,,15,,11,15,,,5,17,29,5,14,14,9,,,,8,11,16,,5,18,8,,,16,,,11,10,15,13,7,9,8,
03-08-2014,9,,,21,,16,25,,,15,24,32,14,24,21,16,,,,13,19,24,,18,31,13,,,25,,,18,18,25,25,18,19,18,
03-08-2014,10,,,26,,26,35,,,31,30,38,26,28,26,28,,,,20,32,30,,28,36,30,,,37,,,30,25,31,38,27,29,30,
03-08-2014,11,,,,,41,47,,,46,42,46,36,42,37,40,,,,38,42,40,,36,45,41,,,51,,,40,35,43,53,41,38,34,
03-08-2014,12,,,45,,55,60,,,62,54,56,40,55,51,50,,,,49,51,51,,40,54,52,,,66,,,53,43,59,63,50,45,44,
03-08-2014,13,,,49,,66,72,,,77,64,71,43,63,59,60,,,,57,58,66,,46,69,58,,,81,,,58,46,69,66,58,45,51,
03-08-2014,14,,,49,,69,82,,,87,77,85,42,65,66,67,,,,61,54,73,,47,88,61,,,82,,,55,45,,71,62,45,50,
03-08-2014,15,,,44,,56,87,,,65,75,79,43,56,58,66,,,,51,55,79,,45,80,54,,,68,,,51,42,77,76,63,46,46,
03-08-2014,16,,,45,,50,69,,,59,59,65,46,54,49,53,,,,44,48,61,,41,65,49,,,61,,,48,45,78,65,52,51,44,
03-08-2014,17,,,42,,49,54,,,72,47,54,37,54,44,42,,,,37,36,47,,36,52,46,,,47,,,48,39,54,50,41,42,41,
03-08-2014,18,,,32,,38,48,,,69,42,50,30,43,37,39,,,,30,31,42,,31,48,37,,,57,,,35,31,46,45,33,34,32,
03-08-2014,19,,,22,,29,35,,,61,30,35,23,26,28,27,,,,25,29,28,,29,33,31,,,39,,,27,23,33,38,30,30,31,
03-08-2014,20,,,17,,26,32,,,36,28,23,20,19,25,24,,,,20,24,24,,21,25,29,,,30,,,18,17,25,36,26,21,25,
03-08-2014,21,,,18,,20,27,,,21,23,20,14,16,23,17,,,,19,20,19,,17,18,21,,,42,,,17,16,24,30,23,17,20,
03-08-2014,22,,,18,,22,23,,,31,20,20,16,15,19,13,,,,13,20,21,,12,16,17,,,39,,,17,17,21,29,21,18,21,
03-08-2014,23,,,19,,19,21,,,31,21,21,19,22,18,16,,,,18,20,15,,12,20,19,,,19,,,15,14,21,24,16,19,26,
03-08-2014,24,,,20,,16,,,,30,15,24,16,23,12,,,,,14,17,20,,15,23,22,,,22,,,,18,20,22,14,18,25,
04-08-2014,1,,,15,,19,,,,12,17,27,9,24,15,,,,,15,18,21,,19,25,22,,,19,,,,17,24,20,18,20,26,
04-08-2014,2,,,14,,16,,,,13,19,24,10,21,16,,,,,19,20,20,,20,23,24,,,19,,,,18,23,24,20,23,25,
04-08-2014,3,26,,21,,19,,,,16,21,24,5,26,20,25,,,,23,26,18,,22,22,24,,,25,,,18,20,20,29,23,23,26,
04-08-2014,4,26,,22,,20,,,,17,22,22,4,28,16,26,,,,23,25,19,,22,23,27,,,31,,,19,19,22,31,24,20,29,
04-08-2014,5,16,,19,,14,,,,19,17,23,2,26,10,18,,,,11,21,21,,16,22,24,,,27,,,8,9,21,24,21,10,23,
04-08-2014,6,15,,17,,10,,,,11,11,18,1,17,6,11,,,,6,16,16,,11,19,14,,,19,,,5,3,15,19,6,2,20,
04-08-2014,7,7,,10,,2,,,,1,4,13,2,14,4,5,,,,4,8,13,,7,18,5,,,12,,,8,3,13,12,4,3,16,
04-08-2014,8,6,,12,,8,,,,4,8,,8,18,6,7,,,,7,11,16,,7,22,14,,,12,,,14,6,12,11,6,13,14,
04-08-2014,9,18,,19,,19,,,,14,12,22,20,22,10,11,,,,11,18,19,,13,21,22,,,18,,,16,17,20,16,15,24,20,
04-08-2014,10,27,,21,,25,,,,19,17,29,28,24,14,16,,,,17,27,21,,23,30,30,,,24,,,24,28,22,28,23,29,26,
04-08-2014,11,37,,28,,34,,,,38,30,36,34,29,26,26,,,,25,43,26,,34,36,35,,,42,,,32,35,31,35,29,38,34,
04-08-2014,12,48,,41,,45,,,,52,44,46,43,48,36,48,,,,44,51,44,,50,51,52,,,60,,,40,43,,52,46,49,48,
04-08-2014,13,52,,52,,60,,,,66,63,61,50,60,53,64,,,,57,64,56,,62,60,,,,75,,,55,53,62,75,66,60,59,
04-08-2014,14,53,,60,,78,,,,62,75,79,52,74,67,77,,,,72,66,74,,67,77,,,,91,,,65,57,83,86,72,62,65,
04-08-2014,15,52,,62,,79,,,,60,85,89,51,78,77,73,,,,75,70,78,,62,90,,,,78,,,71,55,84,80,72,55,60,
04-08-2014,16,44,,48,,70,,,,60,72,85,41,68,65,66,,,,71,76,61,,49,80,,,,76,,,55,45,61,77,77,47,51,
04-08-2014,17,40,,40,,34,,,,56,63,62,33,44,40,59,,,,43,49,56,,36,59,,,,73,,,39,39,,72,63,43,42,
04-08-2014,18,36,,33,,31,,,,45,37,29,22,35,13,29,,,,12,24,32,,33,27,,,,52,,,26,28,,48,29,38,37,
04-08-2014,19,30,,26,,14,,,,,5,30,20,30,11,14,,,,10,15,18,,21,28,25,,,39,,,23,27,40,34,25,26,31,
04-08-2014,20,23,,23,,12,,,,13,5,31,9,14,2,10,,,,8,5,9,,10,15,11,,,28,,,13,12,20,21,10,19,21,
04-08-2014,21,18,,21,,9,,,,19,3,31,2,38,0,4,,,,0,2,5,,12,12,7,,,26,,,10,11,21,12,4,15,20,
04-08-2014,22,21,,18,,17,,,,17,4,20,14,14,3,5,,,,5,3,7,,10,17,16,,,25,,,11,14,13,23,12,16,12,
04-08-2014,23,20,,18,,11,,,,14,6,24,16,19,12,16,,,,9,5,10,,12,19,9,,,25,,,7,17,15,23,20,19,11,
04-08-2014,24,17,,20,,8,,,,2,6,,17,,,14,,,,4,11,12,,21,20,3,,,,,,,18,8,21,19,21,,
05-08-2014,1,19,,24,,10,20,,7,16,16,,22,,,9,,,,5,10,20,,11,24,11,17,,,,,18,17,7,19,6,19,,
05-08-2014,2,16,,26,,10,26,,5,14,22,,21,,,16,,,,3,18,24,,13,27,8,22,,,,,20,21,10,24,6,18,,
05-08-2014,3,18,,25,,12,27,,6,13,24,30,11,,,8,,,,7,13,26,,17,28,12,25,,17,,,13,19,11,24,2,21,17,
05-08-2014,4,16,,21,,17,27,,5,14,24,26,3,25,12,13,,,,10,13,24,,22,26,20,24,,19,,,21,24,11,27,5,23,13,
05-08-2014,5,13,,7,,18,25,,8,3,21,22,2,22,14,14,,,,11,12,21,,20,23,4,22,,19,,,6,18,12,27,2,8,6,
05-08-2014,6,4,,2,,2,16,,1,1,11,20,1,6,2,7,,,,3,9,15,,6,19,3,13,,15,,,1,9,4,19,1,5,4,
05-08-2014,7,2,,3,,1,3,,1,0,3,7,2,11,1,2,,,,1,7,5,,2,11,2,3,,8,,,1,7,4,9,1,3,3,
05-08-2014,8,7,,7,,3,5,,3,1,3,8,4,15,2,3,,,,2,4,4,,3,7,3,3,,8,,,4,8,6,11,2,8,5,
05-08-2014,9,20,,17,,6,11,,12,7,6,12,17,20,4,5,,,,3,11,13,,9,17,5,6,,13,,,7,18,12,17,6,17,7,
05-08-2014,10,28,,24,,20,21,,23,21,18,22,25,30,12,13,,,,10,21,20,,21,24,13,18,,23,,,16,26,25,28,15,30,12,
05-08-2014,11,49,,26,,34,40,,42,43,35,34,38,39,30,33,,,,31,40,30,,40,35,36,38,,40,,,30,38,35,47,33,43,28,
05-08-2014,12,65,,43,,50,65,,58,59,60,49,49,58,52,56,,,,52,61,55,,63,57,65,62,,59,,,44,53,51,68,60,63,61,
05-08-2014,13,67,,62,,81,84,,66,66,76,73,52,72,68,73,,,,75,68,74,,75,79,82,83,,79,,,77,69,72,82,76,71,75,
05-08-2014,14,70,,71,,100,102,,70,59,97,97,56,92,96,99,,,,98,71,91,,83,97,97,101,,84,,,87,65,97,97,82,65,86,
05-08-2014,15,66,,59,,98,119,,61,62,110,110,57,,98,97,,,,93,79,104,,77,115,91,110,,73,,,75,60,98,101,89,67,68,
05-08-2014,16,44,,52,,65,96,,44,61,79,100,43,46,63,63,,,,55,59,95,,47,100,55,88,,71,,,58,48,98,81,68,48,46,
