Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-01-2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2019,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2019,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2019,4,1.50,0.10,,,0.90,,1.00,2.00,1.30,,,1.90,,0.70,,1.20,,,1.10,,0.20,1.30,,2.50,2.00,1.30,1.90,0.10,2.30,0.70,,,1.80,0.30,,,,1.60,,,1.20,,,1.30,1.00,,3.50,2.20,
01-01-2019,5,1.20,0.10,,,0.60,,1.30,1.40,1.10,,1.10,1.90,,1.00,,1.00,,,1.00,,0.10,1.30,,2.30,2.40,1.50,1.70,0.10,2.50,0.40,,,1.70,0.20,,,,0.90,,,0.80,,,1.20,1.30,,3.60,1.70,
01-01-2019,6,1.00,0.10,,,1.00,,1.00,1.20,0.80,,1.80,2.20,,0.70,,0.60,,,1.30,,0.10,1.30,,1.80,2.20,1.40,1.70,0.10,3.30,0.60,,,1.50,0.20,,,,0.90,,,0.70,,,1.20,1.30,,2.80,2.60,
01-01-2019,7,0.80,0.20,,,0.70,,0.90,1.20,0.60,,1.60,1.80,,0.60,,0.60,,,1.60,,0.10,1.20,,2.20,2.00,1.70,1.40,0.10,2.70,0.30,,,1.20,0.10,,,,0.80,,,0.60,,,1.30,1.20,,2.40,2.30,
01-01-2019,8,0.70,0.10,,,0.70,,0.90,0.90,0.50,,1.40,1.10,,0.80,,0.50,,,1.10,,0.10,1.10,,2.40,2.30,1.60,1.30,0.10,2.60,0.40,,,1.60,0.20,,,,0.80,,,0.50,,,1.40,1.10,,2.40,2.20,
01-01-2019,9,0.70,0.30,,,0.60,,0.90,0.60,0.50,,1.20,0.60,,0.60,,0.50,,,1.10,,0.00,0.90,,2.50,2.20,1.10,1.00,0.10,2.20,0.30,,,1.50,0.30,,,,1.70,,,0.70,,,1.50,1.10,,2.00,2.10,
01-01-2019,10,0.50,0.30,,,0.50,,0.70,0.70,0.70,,0.80,0.50,,0.10,,0.40,,,1.30,,0.10,0.90,,2.20,1.30,1.50,0.70,0.10,1.20,0.40,,,1.70,0.50,,,,0.70,,,1.10,,,1.20,0.80,,1.40,1.60,
01-01-2019,11,0.20,0.40,,,0.30,,0.90,0.50,0.70,,0.60,0.30,,0.10,,0.30,,,1.00,,0.20,0.90,,1.20,0.70,0.90,0.40,0.30,0.90,0.50,,,0.90,0.40,,,,0.90,,,1.10,,,0.90,0.80,,0.80,1.30,
01-01-2019,12,0.30,0.60,,,0.00,,0.90,0.40,0.80,,0.50,0.20,,0.20,,0.20,,,0.70,,0.20,0.70,,0.60,0.50,0.60,0.30,0.30,0.40,0.70,,,0.60,0.40,,,,0.70,,,0.30,,,0.70,0.60,,0.50,0.50,
01-01-2019,13,0.30,0.60,,,0.10,,0.60,0.30,0.60,,0.40,0.00,,0.20,,0.10,,,0.60,,0.20,0.50,,0.50,0.50,0.30,0.40,0.40,0.30,0.80,,,0.20,0.40,,,,0.50,,,0.40,,,0.70,0.20,,0.10,0.50,
01-01-2019,14,0.40,0.60,,,0.20,,0.50,0.30,0.40,,0.20,0.00,,0.20,,0.10,,,0.40,,0.20,0.30,,0.40,0.40,0.20,0.50,0.20,0.30,0.50,,,0.20,0.50,,,,0.20,,,0.30,,,0.60,0.30,,0.30,0.20,
01-01-2019,15,0.40,0.50,,,0.20,,0.40,0.20,0.40,,0.10,0.00,,0.20,,0.10,,,0.40,,0.20,0.30,,0.60,0.30,0.30,0.40,0.10,0.20,0.50,,,0.20,0.50,,,,0.20,,,0.30,,,0.40,0.30,,0.10,0.20,
01-01-2019,16,0.50,0.40,,,0.10,,0.30,0.20,0.40,,0.10,0.10,,0.30,,0.10,,,0.30,,0.20,0.30,,0.40,0.20,0.20,0.30,0.10,0.10,0.40,,,0.20,0.50,,,,0.10,,,0.20,,,0.20,0.10,,0.10,0.20,
01-01-2019,17,0.30,0.20,,,0.20,,0.20,0.20,0.30,,0.10,0.10,,0.40,,0.10,,,0.20,,0.20,0.20,,0.20,0.20,0.10,0.20,0.10,0.10,0.30,,,0.20,0.50,,,,0.10,,,0.20,,,0.10,0.10,,0.20,0.20,
01-01-2019,18,0.30,0.10,,,0.30,,0.20,0.20,0.10,,0.10,0.00,,0.20,,0.30,,,0.30,,0.20,0.20,,0.20,0.10,0.10,0.20,0.10,0.20,0.10,,,0.30,0.40,,,,0.10,,,0.20,,,0.10,0.10,,0.20,0.20,
01-01-2019,19,0.50,0.10,,,0.40,,0.30,0.20,0.10,,0.20,0.20,,0.30,,0.50,,,0.50,,0.20,0.70,,0.40,0.20,0.20,0.30,0.10,0.20,0.30,,,0.50,0.60,,,,0.20,,,0.30,,,0.20,0.10,,0.30,0.20,
