,HGM,MER,CAM
Enero,0.5632311977715877,0.6078762306610409,0.6519337016574585
Febrero,0.4946236559139785,0.5390243902439025,
Marzo,0.3854885057471264,0.382843137254902,
Abril,0.36083213773314204,,
Mayo,0.4,0.45225352112676054,
Junio,0.29870689655172417,0.3582857142857143,
Julio,0.33698060941828256,0.39090909090909093,
Agosto,0.34398148148148155,0.39636015325670493,
Septiembre,0.29974937343358393,0.3737142857142857,0.33877068557919626
Octubre,0.30251748251748256,0.47191011235955055,0.4180440771349862
Noviembre,0.34039039039039043,0.49289855072463773,0.45659025787965624
Diciembre,0.5112813370473538,0.7117363344051447,0.6115702479338843
