Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-03-2012,1,22,,,,39,,,24,38,40,19,34,21,46,41,,44,38,42,45,24,,,25,51,41,,41,,,,37,31,47,42,39,,
01-03-2012,2,28,,,,40,,,24,28,37,32,32,22,43,41,,43,46,45,28,13,,,20,44,43,,33,,,41,36,8,41,42,37,,
01-03-2012,3,22,,,,40,,,29,29,35,25,27,17,45,44,,42,44,48,30,9,,,19,42,44,,23,,,34,23,15,45,39,33,,
01-03-2012,4,20,,,,34,,,31,24,41,15,25,17,44,43,,36,45,49,42,15,,,16,39,44,,17,,,33,39,4,37,39,32,,
01-03-2012,5,21,,,,39,,,31,18,42,15,26,23,46,44,,36,40,47,44,11,,,14,40,41,,17,,,34,31,3,33,37,33,,
01-03-2012,6,25,,,,55,,,31,15,38,44,26,31,44,39,,40,43,46,40,13,,,28,46,38,,21,,,35,35,5,35,38,30,39,
01-03-2012,7,27,,,,60,,,29,13,37,53,26,41,48,39,,41,46,54,44,35,,,46,45,38,,24,,,37,37,8,35,38,28,44,
01-03-2012,8,24,,,,53,,,27,19,40,53,30,37,51,45,,44,52,50,45,42,,,49,48,41,,30,,,39,43,13,34,41,30,47,
01-03-2012,9,26,,,,74,,,,29,52,49,36,50,66,58,,62,103,59,56,54,,,31,66,52,,31,,,54,64,33,41,69,45,69,
01-03-2012,10,31,,,,99,,,,35,61,31,44,82,97,112,,58,95,96,72,69,,,48,59,51,,19,,,78,67,40,37,83,42,67,
01-03-2012,11,28,,,,107,,,,19,42,39,52,125,113,101,,55,58,103,103,53,,,48,58,39,,15,,,,76,48,29,42,42,56,
01-03-2012,12,24,,,,79,,,18,12,24,20,33,76,86,60,,33,61,81,66,23,,,22,57,20,,9,,,83,51,20,14,30,39,51,
01-03-2012,13,12,,,,31,,,7,9,29,24,13,37,32,38,,24,32,54,19,21,,,20,32,23,,10,,,34,15,13,19,26,12,38,
01-03-2012,14,9,,16,,24,,,7,11,30,22,10,,30,31,,13,15,37,19,26,,,24,20,35,,,,,26,9,27,29,23,7,23,
01-03-2012,15,7,,14,,26,,,8,9,29,22,13,,26,32,,16,18,32,21,25,,,21,12,32,,13,,,25,10,30,30,29,8,19,
