,HGM,MER,CAM
Enero,,1.2833103448275862,1.1521798365122617
Febrero,0.960633484162896,1.1993911719939117,1.0575976845151955
Marzo,0.9467586206896551,1.001123595505618,1.0019914651493598
Abril,0.9494219653179191,0.888175182481752,1.0080000000000002
Mayo,0.8326332794830371,0.8161473087818698,0.7294117647058824
Junio,0.9355167394468705,0.820695652173913,0.7460139860139859
Julio,1.0133991537376588,0.7966339410939691,0.7123626373626373
Agosto,0.8777464788732393,0.8201388888888889,0.6658904109589041
Septiembre,0.8314121037463977,0.9269956458635703,0.6955493741307371
Octubre,0.8380884450784594,1.024823695345557,0.8490489130434781
Noviembre,0.9811781609195402,1.09,0.7354748603351954
Diciembre,1.2870503597122303,1.5298444130127298,1.234008097165992
