,HGM,MER,CAM
Enero,,1.0,0.8
Febrero,0.8,0.9,0.8
Marzo,0.8,0.8,0.8
Abril,0.8,0.7,0.8
Mayo,0.6,0.6,0.5
Junio,0.8,0.7,0.6
Julio,1.0,0.7,0.6
Agosto,0.8,0.7,0.6
Septiembre,0.7,0.8,0.6
Octubre,0.6,0.8,0.7
Noviembre,0.8,0.9,0.6
Diciembre,1.1,1.3,1.0
