Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-10-2020,1,,,,,14,,31,32,33,,1,,,,3,32,9,,,1,,,,,,41,45,6,30,24,,10,,6,,,,13,,,17,,,27,44,,102,,
01-10-2020,2,,,,,7,,23,20,12,,1,,,,3,20,9,,,1,,,,,,22,37,5,58,10,,6,,6,,,,12,,,8,,,7,30,,96,,
01-10-2020,3,,,,,6,,14,12,5,,1,,,,2,10,21,,,1,,,,,,51,21,6,52,7,,34,,3,,,,8,,,17,,,4,39,,35,,
01-10-2020,4,,,,,5,,18,27,4,,1,,,,2,7,16,,,1,,,,,,39,10,4,32,4,,22,,3,,,,12,,,32,,,12,41,,38,,
01-10-2020,5,,,,,4,,15,27,3,,2,,,,2,4,7,,,1,,,,,,37,7,6,40,4,,6,,4,,,,18,,,33,,,11,32,,40,,
01-10-2020,6,,,,,4,,20,22,3,,2,,,,3,4,4,,,1,,,,,,29,7,3,25,3,,14,,3,,,,25,,,38,,,6,32,,13,,
01-10-2020,7,,,,,3,,13,25,6,,2,,,,3,3,3,,,1,,,,,,18,8,5,22,3,,29,,4,,,,17,,,25,,,5,21,,13,,
01-10-2020,8,,,,,9,,45,40,25,,2,,,,4,7,6,,,1,,,,,,26,14,25,30,14,,25,,12,,,,31,,,55,,,20,35,,16,,
01-10-2020,9,,,,,46,,35,88,40,,14,,,,126,32,23,,,1,,,,,,34,16,29,50,35,,46,,18,,,,44,,,93,,,36,40,,54,,
01-10-2020,10,,,,,42,,30,67,22,,13,,,,121,30,40,,,4,,,,,,62,35,35,49,24,,51,,12,,,,43,,,116,,,30,37,,22,,
01-10-2020,11,,,,,63,,41,42,24,,10,,,,43,40,27,,,5,,,,,,44,41,29,44,17,,43,,16,,,,38,,,84,,,25,34,,8,,
01-10-2020,12,,,,,41,,31,21,31,,3,,,,23,47,6,,,6,,,,,,28,41,13,17,24,,23,,17,,,,20,,,22,,,28,22,,5,,
01-10-2020,13,,,,,10,,18,8,21,,1,,,,7,12,3,,,10,,,,,,13,15,12,3,24,,4,,19,,,,10,,,8,,,15,5,,3,,
01-10-2020,14,,,,,5,,7,4,10,,1,,,,2,6,1,,,13,,,,,,5,6,3,2,11,,3,,8,,,,3,,,4,,,6,3,,2,,
01-10-2020,15,,,,,2,,3,2,4,,1,,,,2,1,1,,,7,,,,,,3,3,1,1,5,,2,,4,,,,2,,,1,,,3,2,,1,,
01-10-2020,16,,,,,1,,2,1,2,,0,,,,2,1,0,,,5,,,,,,2,2,1,1,2,,2,,2,,,,1,,,0,,,2,1,,1,,
01-10-2020,17,,,,,1,,1,0,2,,1,,,,2,1,0,,,2,,,,,,1,1,1,1,1,,1,,2,,,,1,,,1,,,1,1,,1,,
01-10-2020,18,,,,,1,,1,1,2,,0,,,,3,1,0,,,1,,,,,,1,1,0,1,1,,1,,2,,,,1,,,1,,,1,0,,1,,
01-10-2020,19,,,,,1,,1,2,2,,0,,,,4,1,0,,,2,,,,,,2,1,0,1,1,,1,,9,,,,0,,,1,,,1,0,,1,,
01-10-2020,20,,,,,1,,2,4,4,,0,,,,5,3,0,,,6,,,,,,1,1,0,1,7,,1,,19,,,,1,,,1,,,2,0,,1,,
