Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-01-2018,1,8,31,17,17,,22,,,,10,,,16,26,33,,21,12,34,,,22,27,3,24,53,7,19,,,25,26,,,,7,,,16,11,,,3,15,34,
01-01-2018,2,13,28,13,,,27,,,,8,,,21,7,32,,29,16,36,,,20,41,7,29,27,10,23,,,25,37,,,,11,,,14,12,,,3,16,35,
01-01-2018,3,15,29,10,8,,23,,,,8,,,21,9,25,,4,16,41,,,22,6,12,27,31,7,27,,,25,40,,,,4,,,7,6,,,6,14,32,
01-01-2018,4,20,33,9,11,,21,,,,6,,,19,8,17,,5,10,44,,,18,7,13,24,35,7,30,,,25,35,,,,9,,,4,5,,,7,8,14,
01-01-2018,5,16,33,8,6,,17,,,,5,,,17,4,15,,8,5,38,,,12,24,3,20,30,7,22,,,16,28,,,,6,,,3,2,,,4,8,7,
01-01-2018,6,10,31,7,7,,5,,,,9,,,11,3,11,,2,2,37,,,13,14,3,10,30,7,18,,,14,30,,,,6,,,2,3,,,4,8,7,
01-01-2018,7,10,17,6,13,,3,,,,5,,,14,3,10,,1,7,38,,,11,2,2,14,26,6,13,,,14,27,,,,9,,,2,2,,,6,8,5,
01-01-2018,8,12,11,6,16,,5,,,,4,,,11,2,8,,2,6,36,,,7,3,3,10,24,5,6,,,11,20,,,,11,,,5,4,,,5,7,3,
01-01-2018,9,13,18,12,15,,17,,,,12,,,9,4,,,5,13,34,,,9,6,8,15,24,13,12,,,12,18,,,,15,,,11,8,,,12,10,7,
01-01-2018,10,11,28,37,21,,22,,,,23,,,18,18,26,,15,19,43,,,16,14,18,21,32,15,22,,,20,31,,,,25,,,15,16,,,23,16,17,
01-01-2018,11,25,40,51,33,,36,,,,39,,,22,30,37,,30,30,49,,,27,28,32,31,46,22,33,,,31,44,,,,36,,,25,27,,,32,23,29,
01-01-2018,12,32,51,62,44,,47,,,,50,,,26,33,51,,48,41,56,,,39,45,50,47,56,34,48,,,43,54,,,,49,,,36,29,,,47,34,43,
01-01-2018,13,30,56,69,52,,66,,,,58,,,31,46,58,,65,54,64,,,51,66,69,59,68,41,61,,,56,66,,,,64,,,48,41,,,59,36,51,
01-01-2018,14,27,65,67,63,,83,,,,59,,,35,54,74,,64,66,71,,,52,65,77,65,84,43,71,,,54,73,,,,73,,,56,43,,,65,40,47,
01-01-2018,15,22,73,70,64,,91,,,,60,,,37,56,73,,66,66,78,,,53,60,76,76,83,41,82,,,56,82,,,,76,,,60,44,,,64,44,49,
01-01-2018,16,17,80,86,66,,88,,,,56,,,38,53,70,,64,62,81,,,52,59,73,75,83,41,85,,,53,89,,,,77,,,55,45,,,63,41,48,
01-01-2018,17,14,77,90,56,,77,,,,47,,,37,40,67,,55,54,85,,,41,50,66,66,80,36,84,,,46,90,,,,76,,,48,37,,,59,37,38,
01-01-2018,18,10,69,79,34,,55,,,,41,,,30,31,42,,39,41,81,,,37,38,48,44,78,26,63,,,32,68,,,,62,,,32,27,,,46,28,28,
01-01-2018,19,7,48,38,21,,33,,,,33,,,17,24,24,,25,28,68,,,13,31,27,25,61,15,32,,,21,35,,,,41,,,21,19,,,28,21,21,
01-01-2018,20,6,22,35,12,,19,,,,23,,,12,16,15,,20,20,31,,,11,21,21,17,40,11,20,,,14,24,,,,19,,,14,14,,,16,16,20,
01-01-2018,21,7,17,21,7,,19,,,,22,,,10,13,13,,17,14,23,,,11,14,15,15,16,10,15,,,14,18,,,,13,,,13,13,,,14,14,17,
01-01-2018,22,7,15,15,8,,17,,,,17,,,11,9,11,,14,13,17,,,11,15,15,10,11,10,14,,,15,18,,,,15,,,11,12,,,10,10,16,
01-01-2018,23,5,15,14,9,,13,,,,12,,,10,10,13,,6,13,17,,,11,13,11,11,13,7,14,,,14,17,,,,12,,,6,8,,,9,11,12,
01-01-2018,24,6,12,6,8,,14,,,,8,,,9,4,15,,8,10,20,,,10,15,9,11,10,3,12,,,14,14,,,,9,,,5,10,,,5,8,7,
02-01-2018,1,4,11,6,8,,11,,,,8,,,7,2,10,,11,8,13,,,9,16,4,9,12,4,13,,,10,9,,,,8,,,3,10,,,3,12,6,
02-01-2018,2,2,11,5,10,,9,,,,2,,,4,2,7,,7,8,28,,,7,10,7,6,14,6,8,,,6,4,,,,8,,,6,9,,,2,13,3,
02-01-2018,3,2,13,7,4,,6,,,,1,,,6,2,5,,2,7,31,,,3,3,5,1,17,5,4,,,3,9,,,,6,,,2,7,,,1,11,1,
