,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,41.0,45.0,42.0,42.239549839228296,47.64912280701754,43.986784140969164,16.694532601981983,18.455466970307132,18.307539472982352
Febrero,32.0,36.0,34.0,33.90553745928339,37.4390625,36.06356589147287,16.014599842392922,16.47284593708152,17.85032637967571
Marzo,31.0,34.0,32.0,31.864640883977902,34.61080332409972,33.5515625,13.346470091735299,13.518756463898482,14.292621428161189
Abril,25.0,30.0,31.5,28.57163323782235,32.96934306569343,33.38157894736842,14.66717894546302,15.903324352002613,18.765333606240063
Mayo,27.0,32.0,31.0,30.564315352697097,34.00723589001447,33.023743016759774,13.6301441703821,14.460689532968784,15.03592882932214
Junio,23.0,26.0,24.0,24.562225475841874,28.062409288824384,26.21865889212828,10.440735233916524,11.10902082118379,10.435005738769245
Julio,26.0,31.0,28.0,26.848797250859107,31.94326241134752,29.44055944055944,10.025716429648135,11.233809719717819,10.673419416453617
Agosto,23.0,30.5,25.0,24.160330578512397,30.171875,25.944521497919556,10.370252279518953,8.820260655530316,9.813523892788405
Septiembre,25.0,26.0,22.0,25.731898238747554,27.471615720524017,24.721649484536083,10.512949070281385,10.490951015830047,9.810434780589107
Octubre,24.0,26.0,32.0,25.813031161473088,29.287101248266296,31.8411214953271,12.082888675407467,12.995275318874382,12.086006525660896
Noviembre,33.0,38.0,33.0,35.42836676217765,40.916666666666664,35.89811320754717,15.168632132530464,15.68868348982836,15.199399184300654
Diciembre,39.0,43.0,,43.153521126760566,46.818820224719104,,19.234660556134287,20.30954643125502,
