,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,,41.0,37.0,,43.23398328690808,40.17029972752044,,17.190486276453026,17.95407634721609
Febrero,39.0,34.0,34.0,42.01357466063349,36.94216133942162,37.39218523878437,17.794146033817118,15.731251041982679,16.075668796252188
Marzo,37.0,41.0,38.0,39.09797822706065,42.70305676855895,40.25991792065663,17.199979504972898,16.434223676332003,17.05810439271333
Abril,32.0,38.0,30.0,34.45348837209303,39.92139737991266,32.64221824686941,17.777801755735723,16.712007321534923,16.7798545608983
Mayo,33.5,40.0,31.0,37.02708333333333,41.29603399433428,34.820872274143305,18.546260387374534,17.39173721212405,16.809587947830856
Junio,35.0,33.0,29.0,36.43636363636364,35.05780346820809,31.392156862745097,14.307573076486227,13.582341895883031,13.910664483239518
Julio,34.0,34.0,31.0,35.397312859884835,35.22720897615708,31.983516483516482,11.338053373655177,10.862857559692408,10.827381497539607
Agosto,29.0,29.0,26.0,30.909923664122136,31.26388888888889,28.329218106995885,13.175577762760277,11.472641528069596,11.280696074301913
Septiembre,27.0,28.0,25.0,28.170028818443804,29.93877551020408,26.030598052851182,12.115600988013579,11.856159110917808,11.388757519205056
Octubre,28.0,31.0,25.0,30.320970042796006,33.86318758815233,28.092517006802723,14.05432225028356,13.518230481895685,12.935161553648577
Noviembre,33.0,34.5,30.0,36.827586206896555,38.47391304347826,33.07122905027933,14.28050491544468,14.719635811559282,14.150606862295298
Diciembre,44.0,46.0,41.0,47.21294964028777,49.426760563380284,45.72604588394062,20.280755754340145,19.531309772351378,20.865961785542734
