,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,36.0,41.0,36.0,38.35138888888889,42.769578313253014,37.85666666666667,15.875563512656255,18.412638516441522,15.341686566712923
Febrero,29.0,34.0,31.0,31.36378205128205,35.4352,33.15467075038285,12.869166397986598,13.428205676571524,12.837431982257867
Marzo,30.0,34.0,30.5,32.229050279329606,34.95962732919255,31.844101123595507,14.845330115212537,14.89720872696223,13.980079016853486
Abril,29.0,34.0,28.0,32.082608695652176,34.894660894660895,29.79741379310345,15.254887689189772,14.02626099373319,14.296107672414923
Mayo,25.0,29.0,27.0,28.069444444444443,32.00845070422535,29.40880503144654,14.22120729143058,14.121273516238384,13.24105466526521
Junio,25.0,29.0,28.0,25.700787401574804,29.80691642651297,28.336734693877553,11.178163537586446,11.801149869449233,10.81742827699348
Julio,24.0,29.0,26.0,24.677603423680456,30.268055555555556,27.13540197461213,9.992507076644392,10.485387227462986,9.882430438443473
Agosto,26.0,30.0,28.0,26.227208976157083,30.521800281293952,28.723849372384937,9.808216584293687,10.24649799987609,9.931562053697377
Septiembre,27.0,30.5,28.0,28.261467889908257,31.102601156069365,28.90711175616836,10.552937942481146,10.480200843591915,9.440761999971649
Octubre,26.0,28.0,25.0,28.07389937106918,29.90922190201729,26.72984441301273,10.923753409450791,11.72405680246383,10.613703812335496
Noviembre,33.0,35.0,34.0,35.27857142857143,36.67397660818713,37.01006711409396,13.92770412387744,14.560435812325126,16.718526914186015
Diciembre,37.0,39.0,40.0,39.98884239888424,42.306064880112835,42.4,16.70370742723042,17.79594729148843,18.27026229893949
