,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,37.0,44.0,41.0,39.473076923076924,45.92760180995475,43.968876860622466,17.142240670531237,16.392277595172217,18.6552042394023
Febrero,38.0,42.0,41.0,40.97222222222222,44.31424148606811,43.358070500927646,16.95346097583366,14.644691552370595,15.394073377598005
Marzo,28.0,31.0,31.0,29.4992700729927,32.346846846846844,32.59054054054054,14.495172095781088,13.421723967255494,14.654567138009018
Abril,30.0,36.0,33.0,32.975254730713246,37.45307917888563,34.23692810457516,15.926973440957122,15.433291557606612,15.414971649043432
Mayo,34.0,36.0,35.0,36.24778761061947,37.911764705882355,36.64401772525849,15.701408762207656,13.881659789390241,14.119796432301216
Junio,26.0,27.0,26.0,27.67462686567164,28.208271787296898,28.064620355411954,12.249832594366733,10.654862050841958,11.352502481759483
Julio,27.0,31.0,26.0,29.212413793103448,32.03913894324853,28.445925925925927,12.101052889893854,11.161138569119563,11.044741508051155
Agosto,26.0,,27.0,27.12372634643377,,27.668195718654435,11.064117616445692,,10.123055914994906
Septiembre,21.0,,23.0,22.7864768683274,,25.133991537376588,9.047728328169224,,11.466499399561938
Octubre,26.0,,26.0,29.233287858117325,,28.29179331306991,13.760594913445514,,11.502893268753947
Noviembre,35.0,42.0,35.0,37.29538904899135,43.11557788944724,38.277860326894505,14.425228683653344,11.696054515387463,16.611234012408175
Diciembre,34.0,39.0,34.0,38.826027397260276,43.21887824897401,38.790273556231,19.017099571267455,16.732012606475006,18.968734098216142
