,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,39.0,40.0,37.0,41.183875530410184,42.005689900426745,39.01623815967524,15.70650143174089,15.396468738973784,15.708463754481498
Febrero,38.0,39.0,33.0,40.25816485225506,41.746855345911946,35.7856071964018,18.629906978033052,17.804283467205778,17.777416834088157
Marzo,33.0,34.0,29.0,35.21368715083799,36.69627507163324,30.841032608695652,17.173255588407972,15.88244161556139,15.428589101189939
Abril,34.0,39.0,31.5,36.1875,39.860499265785606,32.795138888888886,15.780463134504224,14.697526173908317,14.959750085771029
Mayo,32.0,37.0,31.0,35.95352112676056,39.55021216407355,33.71064467766117,16.68083645782061,16.04080170565118,15.131910201310454
Junio,25.0,31.0,28.0,28.12081513828239,33.08199121522694,28.80096308186196,14.126509431644326,13.561276621145616,11.77422381042008
Julio,25.0,31.0,27.0,26.226628895184135,32.68045649072753,27.687603305785125,11.655318049384094,11.804625137989829,9.621646833541181
Agosto,23.0,28.0,25.0,24.775596072931275,29.986013986013987,26.231190150478795,11.826109906558752,11.754244727052674,10.44882695550008
Septiembre,28.0,28.0,26.0,28.519867549668874,28.50509461426492,28.310984308131243,11.565715446097837,11.011770284302251,10.898243988356722
Octubre,27.0,31.0,29.0,29.829113924050635,33.18945868945869,31.467391304347824,11.97725713098968,11.050254933078369,11.792492561138028
Noviembre,34.0,35.0,32.0,38.479052823315115,37.9143686502177,34.977337110481585,16.801818696497662,15.864613785635875,14.468338501647384
Diciembre,38.0,40.0,38.0,41.396280400572245,43.4,41.72998643147897,19.044407098467286,18.028206968486895,18.476235739246427
