,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,,32.0,31.0,,34.25824964131994,32.75208913649025,,14.25826615786065,14.870330830368097
Febrero,,33.0,33.0,,33.77217125382263,33.391975308641975,,14.42480919250416,17.320438395153765
Marzo,,31.0,28.0,,30.865569272976682,30.105263157894736,,12.519919611261932,14.103638585812645
Abril,,27.0,24.0,,29.485232067510548,28.14927536231884,,14.27879324489909,16.247792063361263
Mayo,,23.0,21.0,,24.915416098226466,23.16899441340782,,10.296476385330806,10.106464847544569
Junio,,22.0,22.0,,23.015988372093023,23.868115942028986,,10.520294667691637,9.863288911072557
Julio,,26.0,24.0,,26.615384615384617,24.98472222222222,,10.767822955119641,10.512515353635562
Agosto,,23.0,22.0,,23.665745856353592,23.17829457364341,,8.98585876099373,9.02711770604575
Septiembre,,25.0,24.0,,25.670470756062766,23.858942065491185,,10.519022139822319,8.963464105854284
Octubre,,25.0,23.0,,25.906474820143885,24.40921787709497,,11.14347878355683,9.885434588818331
Noviembre,,30.0,28.0,,31.647646219686163,29.919540229885058,,12.080797550319414,11.976325222348997
Diciembre,,40.0,38.0,,42.58227848101266,41.06085753803596,,17.259124417138974,17.70969820025012
