,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,37.0,36.0,36.0,40.49585635359116,39.839557399723375,39.74033149171271,18.334263307322008,17.18618061804212,20.321590910934408
Febrero,40.0,42.0,42.0,41.22156573116691,43.32286995515695,42.261068702290075,16.248202683505262,14.478057943346798,14.696124707722658
Marzo,28.0,33.0,31.5,29.50069156293223,33.80902255639098,33.331932773109244,15.411473118303876,16.03717189302084,17.99338868505182
Abril,31.0,36.0,35.0,33.52878464818763,38.04960317460318,36.91012838801712,17.054140874159017,17.16553483941965,17.340923442557372
Mayo,33.0,37.0,33.0,35.97107438016529,39.551246537396125,36.38035961272476,17.272038098773823,16.249212244988545,16.738844679371972
Junio,29.0,32.0,29.0,30.743478260869566,33.03179190751445,30.34285714285714,12.969070924945843,13.5931848814569,12.510923083570802
Julio,28.0,31.0,27.0,28.64876033057851,31.38757396449704,28.02974504249292,11.026703254735594,11.173809033980064,10.49838726919775
Agosto,26.0,31.0,27.5,26.801388888888887,31.3027950310559,28.3739837398374,10.89656761687292,12.01735104899369,10.546105447303349
Septiembre,24.0,27.0,27.0,24.390420899854863,27.79236641221374,27.927007299270073,9.615876586462317,9.529911211248663,8.584570177982965
Octubre,22.0,26.0,25.0,23.19832402234637,27.156305506216697,26.01258741258741,9.90315609710732,10.736925767580232,7.96428360393645
Noviembre,28.0,32.0,28.0,31.65323741007194,35.71471471471472,31.785611510791366,14.344035010018182,14.23866365042973,14.945484803645735
Diciembre,29.0,34.0,31.0,31.052083333333332,36.506003430531734,33.55354659248957,13.272742318329808,14.928220524248923,15.18345054827115
