Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-05-2015,1,20,15,,24,,,37,25,,26,,35,23,27,26,,,35,,43,,37,,40,33,,39,16,,,37,17,43,,,23,,,36,30,,34,47,,41,
01-05-2015,2,27,11,,15,,,34,25,,26,,31,21,21,25,,,37,,39,,33,,38,30,,35,12,,,32,11,42,,,21,,,38,36,,30,42,,41,
01-05-2015,3,24,4,,20,,,35,18,,23,,28,19,19,24,,,37,,36,,27,,36,26,,35,11,,,28,14,38,,,19,,,33,35,,28,36,,38,
01-05-2015,4,15,4,,19,,,38,14,,27,,26,18,23,23,,,35,,36,,28,,35,29,,37,13,,,27,10,35,,,16,,,32,35,,28,35,,37,
01-05-2015,5,17,6,,21,,,35,14,,21,,24,16,23,25,,,34,,36,,25,,36,30,,37,18,,,26,14,30,,,14,,,31,36,,27,34,,33,
01-05-2015,6,16,7,,26,,,35,25,,21,,28,25,18,28,,,35,,35,,23,,38,,,36,24,,,23,23,33,,,23,,,37,33,,25,33,,35,
01-05-2015,7,16,10,,28,,,38,27,,19,,31,40,16,28,,,34,,34,,25,,37,36,,36,21,,,22,23,29,,,22,,,39,29,,25,33,,33,
01-05-2015,8,20,32,,30,,,50,35,,22,,34,24,37,35,,,37,,38,,32,,44,30,,34,32,,,28,30,40,,,20,,,43,31,,24,37,,44,
01-05-2015,9,22,20,,28,,,52,41,,26,,43,15,33,43,,,48,,45,,32,,52,35,,33,43,,,36,16,49,,,31,,,44,33,,21,43,,50,
01-05-2015,10,18,29,,15,,,30,40,,25,,46,19,19,28,,,36,,54,,23,,48,33,,36,43,,,26,20,53,,,32,,,39,27,,26,50,,52,
01-05-2015,11,6,33,,12,,,16,25,,16,,24,15,13,24,,,16,,34,,13,,31,16,,19,24,,,13,16,35,,,26,,,17,15,,41,41,,30,
01-05-2015,12,5,20,,13,,,12,17,,11,,19,15,5,13,,,17,,29,,11,,27,14,,14,17,,,15,15,19,,,16,,,20,11,,25,20,,17,
01-05-2015,13,5,24,,12,,,14,16,,9,,16,11,5,19,,,15,,19,,10,,24,11,,12,14,,,10,9,12,,,8,,,22,10,,15,17,,17,
01-05-2015,14,5,19,,15,,,18,18,,10,,19,10,6,14,,,12,,18,,7,,26,13,,11,20,,,10,8,12,,,10,,,17,10,,14,14,,17,
01-05-2015,15,6,18,,11,,,15,20,,10,,20,11,9,12,,,13,,19,,9,,25,11,,13,18,,,10,10,12,,,10,,,18,10,,14,15,,21,
01-05-2015,16,10,16,,12,,,18,18,,9,,18,12,11,15,,,17,,16,,11,,25,12,,15,17,,,9,11,11,,,12,,,22,9,,15,17,,19,
01-05-2015,17,8,17,,16,,,18,13,,9,,17,14,7,16,,,17,,15,,14,,31,18,,18,14,,,12,10,10,,,11,,,22,12,,15,15,,22,
01-05-2015,18,11,14,,15,,,21,16,,8,,20,16,10,15,,,16,,16,,18,,34,23,,19,13,,,15,12,11,,,10,,,26,16,,17,15,,22,
01-05-2015,19,12,19,,24,,,27,20,,8,,29,23,13,19,,,19,,26,,33,,41,32,,30,22,,,22,18,18,,,11,,,24,21,,18,27,,27,
01-05-2015,20,13,23,,27,,,30,31,,11,,40,32,20,29,,,,,42,,40,,34,35,,44,30,,,32,39,26,,,22,,,33,35,,27,37,,22,
01-05-2015,21,13,29,,23,,,26,23,,12,,25,28,18,35,,,20,,36,,15,,29,31,,27,40,,,23,25,20,,,27,,,29,19,,35,36,,22,
01-05-2015,22,15,29,,20,,,26,19,,12,,21,20,19,24,,,18,,33,,15,,24,22,,22,23,,,19,21,18,,,26,,,33,20,,26,21,,24,
