Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-01-2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2019,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2019,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2019,4,2,1,,,3,,2,4,2,,2,5,,8,1,,,,3,2,5,,5,3,,5,3,1,12,2,,,,2,,,,3,,,3,,,4,4,,,7,
01-01-2019,5,2,1,,,2,,2,3,2,,1,3,,5,2,,,,2,2,4,,5,3,,6,2,1,10,1,,,6,2,,,,2,,,3,,,4,4,,7,5,
01-01-2019,6,2,1,,,2,,2,2,2,,1,2,,4,2,,,,2,2,5,,4,3,,6,2,0,8,1,,,6,1,,,,1,,,2,,,3,4,,5,5,
01-01-2019,7,1,1,,,2,,1,2,2,,1,2,,3,1,,,,2,2,3,,4,3,,5,2,0,6,1,,,6,1,,,,1,,,2,,,2,3,,5,5,
01-01-2019,8,1,1,,,2,,1,2,2,,1,2,,3,1,,,,2,2,3,,3,3,,5,3,0,4,1,,,7,1,,,,1,,,2,,,2,3,,4,5,
01-01-2019,9,2,2,,,3,,2,2,2,,3,2,,3,2,,,,3,1,3,,4,4,,5,4,0,5,1,,,8,1,,,,1,,,2,,,3,4,,5,6,
01-01-2019,10,2,1,,,4,,2,3,3,,3,2,,2,4,,,,3,2,3,,5,4,,5,3,0,5,2,,,9,2,,,,2,,,6,,,3,4,,4,5,
01-01-2019,11,2,2,,,3,,2,4,4,,3,2,,1,5,,,,5,2,4,,5,3,,5,4,1,6,2,,,8,2,,,,3,,,24,,,3,4,,5,5,
01-01-2019,12,2,2,,,2,,2,4,3,,2,1,,2,4,,,,3,2,4,,4,3,,4,3,1,3,3,,,6,2,,,,3,,,8,,,3,4,,4,3,
01-01-2019,13,2,3,,,2,,3,2,3,,2,1,,2,3,,,,3,2,4,,4,3,,4,2,2,3,3,,,4,2,,,,2,,,5,,,3,3,,2,3,
01-01-2019,14,2,2,,,3,,3,2,3,,2,1,,2,2,,,,3,1,3,,3,3,,4,3,2,3,3,,,4,2,,,,1,,,3,,,3,3,,3,2,
01-01-2019,15,2,2,,,3,,3,2,3,,1,1,,2,3,,,,3,1,3,,4,1,,4,3,1,2,2,,,4,2,,,,1,,,4,,,3,3,,2,2,
01-01-2019,16,4,2,,,3,,2,2,3,,1,1,,3,3,,,,3,1,3,,4,2,,4,3,1,1,2,,,3,3,,,,1,,,4,,,2,2,,2,2,
01-01-2019,17,2,1,,,4,,2,2,3,,1,1,,3,2,,,,1,2,2,,3,2,,2,2,1,1,2,,,2,3,,,,1,,,3,,,1,1,,2,2,
01-01-2019,18,2,1,,,3,,1,1,2,,1,1,,2,6,,,,1,2,1,,2,1,,2,1,1,1,1,,,2,2,,,,0,,,2,,,1,1,,2,2,
01-01-2019,19,2,1,,,2,,1,1,1,,1,1,,1,15,,,,2,1,2,,2,0,,2,1,1,1,1,,,2,1,,,,0,,,1,,,1,1,,1,1,
01-01-2019,20,2,0,,,6,,1,1,1,,1,1,,2,4,,,,1,2,2,,3,1,,2,1,1,1,1,,,3,1,,,,1,,,3,,,1,2,,1,1,
01-01-2019,21,2,3,,,32,,3,4,2,,1,1,,15,3,,,,4,1,2,,3,1,,3,19,1,2,2,,,3,11,,,,1,,,14,,,1,2,,4,3,
01-01-2019,22,2,15,,,43,,17,29,5,,1,1,,17,6,,,,32,3,13,,3,2,,11,37,1,2,5,,,4,10,,,,2,,,45,,,2,3,,4,4,
01-01-2019,23,2,12,,,37,,22,47,7,,2,1,,13,79,,,,44,6,29,,5,2,,29,26,1,3,6,,,5,10,,,,2,,,51,,,2,3,,35,4,
01-01-2019,24,3,11,,,23,,20,46,5,,1,1,,9,81,,,,40,6,4,,35,12,,34,13,1,3,5,,,14,6,,,,2,,,44,,,2,7,,61,10,
02-01-2019,1,4,12,,,14,,16,36,4,,1,1,,7,35,,,,28,3,4,,29,19,,46,10,4,9,4,,,36,5,,,,4,,,26,,,2,4,,71,12,
02-01-2019,2,7,11,,,9,,7,27,4,,1,1,,6,9,,,,21,2,6,,28,22,,14,8,7,28,4,,,25,4,,,,1,,,30,,,2,3,,63,19,
02-01-2019,3,9,9,,,5,,4,18,3,,1,1,,6,4,,,,15,2,7,,51,21,,22,5,9,27,4,,,41,3,,,,2,,,17,,,2,6,,76,17,
02-01-2019,4,2,7,,,2,,5,15,3,,1,0,,3,4,,,,16,2,22,,58,11,,30,4,9,31,3,,,37,2,,,,2,,,20,,,1,15,,87,15,
02-01-2019,5,1,5,,,1,,8,17,3,,0,1,,4,3,,,,19,2,27,,57,8,,19,3,8,20,2,,,35,2,,,,3,,,16,,,6,18,,94,22,
