,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,9.0,8.0,6.0,20.644475920679888,19.511267605633805,18.484438430311233,26.269356617565602,24.620716959697326,24.531837922841394
Febrero,11.0,10.0,11.0,24.829457364341085,22.136363636363637,23.23688155922039,28.54900005618752,25.219885016726106,26.66521878709095
Marzo,18.0,15.0,16.0,27.977653631284916,25.909871244635195,26.085597826086957,28.832180022268595,28.126946208075882,27.334501567957087
Abril,32.0,25.0,24.0,40.40320232896652,36.23935389133627,32.052083333333336,35.82739869176619,36.38191990608134,31.159711029844527
Mayo,35.0,29.0,28.0,46.92577030812325,41.14866760168303,39.30988023952096,38.77266908428045,38.326917251497285,36.2365387256595
Junio,20.0,16.0,16.0,28.012931034482758,25.07456140350877,25.853314527503525,27.308703743928493,26.166299936551535,26.05797384686768
Julio,15.0,13.0,12.0,25.07898448519041,23.562054208273896,23.056934306569342,25.90491023162435,25.44502619491508,25.39882979421038
Agosto,16.0,15.0,16.0,24.05610098176718,23.11938202247191,23.56908344733242,24.204528663248393,24.43386701451137,23.252493202185537
Septiembre,7.0,6.0,8.0,15.19767441860465,15.74165457184325,15.881597717546363,21.08888502815677,21.88925663377683,20.141044539892604
Octubre,9.0,7.0,8.0,21.356338028169013,20.386039886039885,19.97554347826087,27.554506732946844,27.326743371064577,25.723954790124427
Noviembre,9.0,9.0,8.0,17.723435225618633,16.963768115942027,16.229461756373937,21.195035335566207,20.898958460547785,19.715811676532436
Diciembre,6.0,5.0,5.0,18.6759941089838,17.60839160839161,17.10583446404342,23.66172365298128,23.66083733936585,22.53740082665864
