,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,,12.0,11.0,,22.131805157593124,21.37325905292479,,24.563035587101815,23.680049055164005
Febrero,,17.5,16.0,,28.95552147239264,24.632716049382715,,30.291408801722753,25.189255407313826
Marzo,,26.0,20.5,,34.30178326474623,26.919444444444444,,30.81051642929366,23.386910969554805
Abril,,32.0,25.0,,38.15893108298172,29.082608695652173,,32.104605452336166,23.563529028916403
Mayo,,31.0,27.0,,37.217213114754095,31.2013986013986,,28.07159264143159,22.6972214948745
Junio,,14.0,13.0,,22.0203488372093,19.8,,22.025977620200837,20.27082240386123
Julio,,15.0,13.0,,23.856125356125357,21.28472222222222,,25.031918815253093,21.812025110521873
Agosto,,13.0,12.0,,21.267586206896553,19.60649819494585,,22.823551138437466,20.613213015575568
Septiembre,,14.0,15.0,,20.921875,21.812589413447782,,21.334519911750178,21.74330741195629
Octubre,,11.0,10.5,,19.53682719546742,18.976256983240223,,22.035482105485237,21.63642992308077
Noviembre,,11.0,10.0,,20.991440798858772,18.432471264367816,,24.045015778291265,20.093265493707385
Diciembre,,6.0,5.0,,21.109704641350213,16.048476454293628,,27.352818508065592,20.289352896256222
