,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,11.0,7.0,9.0,26.5814332247557,22.435087719298245,25.46958981612447,30.809296819893778,27.59454424585418,30.292252026456264
Febrero,21.5,16.0,18.0,33.045602605863195,25.9578125,29.06259780907668,31.298039046689247,26.37640920109304,29.47980276896772
Marzo,26.0,20.0,20.0,33.002793296089386,25.740896358543417,27.202492211838006,26.915563242000655,23.115208311767304,24.883180292838347
Abril,36.0,27.0,30.0,40.06025824964132,31.407624633431084,34.04262295081967,28.57369653792203,25.165317728488546,27.408966904677534
Mayo,39.0,30.0,31.0,48.19559228650138,39.663366336633665,41.63522884882108,37.433494606786304,33.614711663344664,36.446670804890466
Junio,28.0,23.0,23.0,35.1784107946027,30.183673469387756,30.368804664723033,27.924280099803035,26.574749475726044,26.918034342716357
Julio,14.0,11.0,13.0,23.136865342163354,21.085106382978722,23.328611898016998,25.72607206624227,23.959390762412887,25.407369290043636
Agosto,19.0,12.0,15.0,27.68413793103448,19.989339019189764,23.706777316735824,25.122150963675903,20.257790877310327,24.2499632118734
Septiembre,16.0,11.0,15.0,23.38192419825073,18.352685050798257,22.548556430446194,23.32468182585686,19.9774326724228,24.184180981640214
Octubre,20.0,15.0,18.0,27.11961057023644,21.170596393897366,27.847352024922117,24.572549438765133,21.121080065092375,28.128917518788672
Noviembre,13.0,8.0,9.0,24.131994261119083,18.632113821138212,21.860640301318266,24.815637928855647,21.119117727978118,25.131416382698394
Diciembre,11.0,8.5,,23.34562211981567,21.274480712166174,,25.54818178155034,25.415601118025194,
