,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,16.0,13.0,14.0,25.833333333333332,24.603107344632768,27.983425414364643,25.554857163319877,26.350200371869715,31.89034600316137
Febrero,16.0,13.0,,26.243076923076924,25.51246105919003,,28.065397814078576,29.09997829613374,
Marzo,26.0,23.0,32.0,34.24098124098124,32.88440111420613,40.221789883268485,29.892020416574518,31.198411371342416,33.815004411448825
Abril,39.0,39.0,45.0,44.37896253602305,45.26865671641791,50.1950146627566,29.603813296477167,34.64368363542131,36.3738352786437
Mayo,43.0,40.0,42.0,45.9327731092437,44.00425531914894,45.67381974248927,29.0248907329666,32.26649039361243,32.6177749391175
Junio,26.0,23.0,,31.82471264367816,30.057720057720058,,24.63671632511553,24.775106702805374,
Julio,20.0,17.0,,27.6105702364395,25.795518207282914,,23.794997240712586,23.679846434266405,
Agosto,22.0,21.0,,30.01219512195122,28.96078431372549,,26.073754370985906,25.749873076956337,
Septiembre,20.0,17.0,15.5,29.29040404040404,24.833333333333332,24.938095238095237,27.340126930865402,23.840859270240355,24.876995271493797
Octubre,15.0,12.0,13.0,22.48945147679325,18.858757062146893,20.666204986149584,22.88038925620803,21.119980407837993,22.31698740977543
Noviembre,13.5,7.0,9.0,23.639705882352942,18.694083694083695,19.61406025824964,23.92750242963402,22.30655913747521,22.469557381525142
Diciembre,12.0,6.0,7.0,23.624123422159887,19.83609022556391,20.543055555555554,26.01034974097171,25.25285185596504,25.321374295521114
