,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,,4.0,,,15.244725738396625,,,21.258549820080475,
Febrero,,6.0,,,17.003016591251885,,,22.64450054171459,
Marzo,,10.0,,,23.08215297450425,,,28.91658914603165,
Abril,,17.0,,,29.053084648493545,,,31.008782494067322,
Mayo,,24.0,,,35.25945945945946,,,35.34205910514154,
Junio,,19.0,,,30.919718309859157,,,31.764214723727047,
Julio,,6.0,,,15.268392370572206,,,20.919651612914738,
Agosto,,9.0,,,18.428571428571427,,,23.575813413373243,
Septiembre,,9.0,,,16.44822695035461,,,19.843720393094877,
Octubre,,18.0,,,27.918055555555554,,,29.818975515660917,
Noviembre,,8.0,,,23.218705035971222,,,30.45837989948959,
Diciembre,,3.0,,,16.825852782764812,,,24.21538944198934,
