,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,13.0,11.0,11.0,20.754761904761907,20.082287308228732,21.05997210599721,20.625987528318596,21.933054091941237,22.619651477423666
Febrero,19.0,15.0,15.0,29.214925373134328,26.094754653130288,26.58974358974359,29.062148003140706,28.17098801355824,29.77530177098949
Marzo,27.0,22.0,23.0,35.637005649717516,31.506276150627617,32.31944444444444,30.729823947546627,29.97301444021158,30.746948869462347
Abril,42.0,40.0,40.0,47.310888252149,44.48637015781922,44.84626436781609,29.63483005583121,31.36676164946392,32.286856142247004
Mayo,46.0,42.0,42.0,49.92787794729542,46.64216366158114,45.90416666666667,28.642922570982602,30.25396388686319,31.012949592388463
Junio,32.0,28.0,28.0,37.23994252873563,33.41997063142438,32.30478955007257,24.966940143729612,24.891289771117215,24.173969585387493
Julio,27.0,25.0,24.0,33.625172890733054,30.954992967651197,30.528511821974966,25.87315697541565,24.63195450591854,26.729042906365343
Agosto,16.0,16.0,16.0,23.76691729323308,23.957507082152976,23.835883171070932,22.77598444507263,23.430559096874926,23.482128397118423
Septiembre,,17.0,17.0,,23.03832116788321,22.949640287769785,,21.642778549796446,21.679590975293134
Octubre,,16.0,18.0,,25.363636363636363,25.5546875,,25.83408206772885,24.719081664520743
Noviembre,,12.0,9.0,,22.41917024320458,19.333848531684698,,26.956778073877278,23.31975499970726
Diciembre,,13.5,14.0,,22.296348314606742,22.45179856115108,,23.564451238547118,24.463173971630916
