,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,10.0,8.0,10.0,18.153094462540718,21.206944444444446,20.322537112010796,20.843315613224437,25.60413750025216,23.859949299639997
Febrero,,16.0,17.0,,31.509287925696594,31.087565674255693,,35.34567820631338,33.76081039904854
Marzo,22.0,16.0,17.5,31.775193798449614,26.06756756756757,26.971621621621622,29.585657559546966,29.501521802456924,29.20364789098793
Abril,25.0,24.0,23.0,33.44363103953148,33.34160583941606,32.1437908496732,30.461517952094574,32.75324331589022,30.789166011884962
Mayo,20.0,19.0,18.0,29.353521126760562,29.563025210084035,28.618840579710145,29.80889451317473,30.451296129993523,29.440174635071184
Junio,11.0,9.0,11.0,22.517087667161963,19.991137370753325,22.707386363636363,26.504942640248043,25.18640408878189,27.256375181565826
Julio,12.0,11.0,12.0,21.975172413793103,21.001512859304086,22.666174298375186,24.65932390938053,24.274909059129367,25.966140771307817
Agosto,16.0,14.0,15.0,24.610778443113773,23.071729957805907,24.342222222222222,24.389235047448995,23.978550913356695,25.458989733670684
Septiembre,11.0,8.0,11.0,18.34379457917261,16.515695067264573,20.158227848101266,20.19724682462649,20.19971709359732,21.925933987130808
Octubre,6.0,9.0,9.0,14.259863945578232,18.17515923566879,17.934650455927052,18.763818377144236,22.91349561882268,21.89069949679689
Noviembre,6.0,6.0,7.0,14.886904761904763,18.494296577946766,18.945244956772335,18.007094344703518,22.9067460593613,24.00823329520991
Diciembre,7.0,7.0,7.0,16.21095890410959,18.685362517099865,19.076023391812864,19.295461428188336,23.786943390472683,24.31919410122343
