,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,,5.0,,,16.916780354706685,,,22.423577669974122,
Febrero,,10.0,,,21.1496062992126,,,25.744154566119484,
Marzo,,20.0,,,30.95448079658606,,,31.154438923718338,
Abril,,30.0,,,38.67438494934877,,,33.85103206556298,
Mayo,,34.0,,,40.75873544093178,,,33.085546104982036,
Junio,,24.0,,,31.055944055944057,,,29.76174678612752,
Julio,,7.0,8.0,,16.147448015122873,18.809327846364884,,21.169522253756966,24.673485807294313
Agosto,,15.0,14.0,,23.568213783403657,23.978171896316507,,24.517726890463543,25.284113750117506
Septiembre,,17.0,16.0,,24.75106082036775,24.11220196353436,,23.783435885663305,23.61033814232885
Octubre,,13.0,12.0,,20.86046511627907,20.51095890410959,,22.986528736305843,23.204299668051362
Noviembre,,8.0,8.0,,21.309696092619394,21.243661971830985,,27.713537868916237,28.35655625711394
Diciembre,,4.0,3.0,,21.81917808219178,21.019178082191782,,30.01700778767215,30.12574769562813
