Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-03-2018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2018,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2018,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2018,4,,10,,20,,,42,38,,23,,,,31,17,,,32,,24,,34,,39,34,,23,16,,,,30,,,,,,,32,39,,19,,,43,
01-03-2018,5,,10,,12,,,43,28,,31,,,,30,20,,,29,,35,,46,,39,44,,28,25,,,,30,,,,,,,29,36,,17,,,49,
01-03-2018,6,,11,,27,,,52,32,,41,,,,32,27,,,28,,37,,45,,48,46,,48,32,,,,38,,,,,,,38,41,,24,,,53,
01-03-2018,7,,12,,39,,,44,34,,33,,,,30,40,,,41,,48,,39,,57,47,,41,38,,,,43,,,,,,,39,41,,35,,,56,
01-03-2018,8,,19,,41,,,46,40,,39,,,,31,41,,,51,,52,,35,,69,49,,43,42,,,,40,,,,,,,44,42,,41,,,55,
01-03-2018,9,,18,,38,,,46,51,,43,,,,47,44,,,64,,63,,48,,74,37,,44,45,,,,36,,,,,,,42,46,,37,,,65,
01-03-2018,10,,18,,21,,,51,56,,18,,,,28,33,,,55,,81,,52,,77,31,,49,44,,,,13,,,,,,,45,46,,45,,,81,
01-03-2018,11,,23,,16,,,32,32,,16,,,,13,24,,,34,,52,,28,,62,36,,41,27,,,,13,,,,,,,38,18,,52,,,66,
01-03-2018,12,,19,,19,,,23,25,,13,,,,10,21,,,31,,45,,21,,52,31,,30,29,,,,14,,,,,,,27,14,,42,,,23,
01-03-2018,13,,21,,12,,,16,25,,7,,,,11,17,,,19,,25,,16,,26,25,,15,25,,,,15,,,,,,,18,10,,33,,,20,
01-03-2018,14,,21,,14,,,14,15,,5,,,,7,17,,,11,,15,,14,,20,14,,13,17,,,,11,,,,,,,21,10,,15,,,19,
01-03-2018,15,,12,,12,,,18,12,,5,,,15,6,15,,,14,,13,,17,,21,13,,14,14,,,,12,,,,,,,18,9,,10,,,20,
01-03-2018,16,,14,,10,,,18,15,,5,,,15,8,16,,,14,,17,,15,,21,17,,14,17,,,,13,,,,,,,25,9,,12,,,14,
01-03-2018,17,,17,,10,,,17,13,,4,,,15,7,14,,,16,,14,,10,,24,15,,14,15,,,,12,,,,,,,22,9,,12,,,24,
01-03-2018,18,,20,,15,,,29,17,,6,,,21,12,21,,,17,,24,,12,,26,24,,19,22,,,,20,,,,,,,24,12,,13,,,30,
01-03-2018,19,,20,,17,,,23,19,,9,,,17,12,21,,,17,,26,,13,,25,22,,17,20,,,,20,,,,20,,,24,11,,15,,,29,
01-03-2018,20,,24,,15,,,29,18,,9,,,17,11,20,,,18,,26,,13,,22,26,,18,19,,,,16,,,,24,,,18,11,,15,,,31,
01-03-2018,21,,23,,15,,,26,22,,9,,,19,11,17,,,20,,20,,16,,29,22,,21,25,,,,19,,,,25,,,24,13,,18,,,31,
01-03-2018,22,,18,,15,,,25,22,,13,,,15,10,16,,,22,,24,,24,,28,20,,22,,,,,13,,,,22,,,27,16,,24,,,20,
01-03-2018,23,,14,,14,,,18,17,,16,,,15,16,13,,,22,,22,,21,,22,17,,24,15,,,,11,,,,26,,,21,14,,24,,,13,
01-03-2018,24,,13,,17,,,16,14,,14,,,13,17,10,,,16,,19,,16,,21,19,,20,13,,,,11,,,,21,,,27,15,,16,,,13,
02-03-2018,1,,11,,19,,,17,13,,26,,,11,13,9,,,16,,17,,14,,19,16,,14,13,,,,9,,,,16,,,17,11,,17,,,18,
02-03-2018,2,,8,,17,,,18,10,,33,,,9,10,8,,,15,,18,,17,,20,12,,17,10,,,,11,,,,15,,,17,9,,14,,,31,
02-03-2018,3,,10,,13,,,23,10,,32,,,13,13,8,,,17,,20,,16,,20,15,,19,11,,,,10,,,,13,,,15,15,,11,,,23,
02-03-2018,4,,8,,16,,,25,9,,28,,,11,19,8,,,22,,25,,13,,16,14,,23,11,,,,10,,,,12,,,16,11,,13,,,22,
02-03-2018,5,,8,,15,,,19,9,,24,,,9,13,8,,,19,,22,,16,,20,14,,23,8,,,,8,,,,11,,,23,12,,13,,,23,
02-03-2018,6,,11,,14,,,32,10,,27,,,16,21,10,,,17,,19,,27,,32,22,,21,10,,,,18,,,,15,,,31,20,,12,,,35,
02-03-2018,7,,14,,18,,,38,18,,25,,,34,20,14,,,28,,22,,33,,38,25,,25,22,,,,31,,,,19,,,40,29,,19,,,36,
02-03-2018,8,,17,,24,,,37,33,,29,,,43,15,21,,,35,,36,,32,,36,32,,29,29,,,,33,,,,17,,,36,25,,25,,,37,
02-03-2018,9,,13,,25,,,32,29,,28,,,31,22,33,,,34,,31,,33,,35,25,,27,26,,,,20,,,,14,,,39,27,,32,,,38,
02-03-2018,10,,11,,16,,,31,19,,24,,,28,12,28,,,33,,33,,29,,38,28,,28,19,,,,18,,,,15,,,38,22,,24,,,36,
02-03-2018,11,,20,,13,,,35,30,,13,,,26,9,26,,,39,,44,,22,,42,39,,30,,,,,23,,,,18,,,31,16,,31,,,45,
02-03-2018,12,,26,,20,,,39,43,,14,,,36,9,24,,,41,,47,,20,,39,42,,21,,,,,36,,,,20,,,37,15,,41,,,33,
02-03-2018,13,,36,,16,,,40,44,,14,,,37,12,28,,,42,,37,,16,,35,41,,20,,,,,38,,,,22,,,28,12,,35,,,25,
02-03-2018,14,,38,,17,,,32,36,,9,,,36,11,24,,,35,,31,,14,,32,39,,18,,,,,33,,,,21,,,31,11,,25,,,21,
02-03-2018,15,,27,,19,,,27,27,,8,,,33,8,25,,,24,,24,,17,,27,31,,16,28,,,,31,,,,12,,,30,14,,17,,,22,
02-03-2018,16,,17,,20,,,30,20,,9,,,29,9,29,,,25,,22,,17,,30,22,,14,18,,,,22,,,,5,,,31,12,,16,,,20,
02-03-2018,17,,13,,21,,,26,21,,10,,,25,9,28,,,22,,23,,14,,22,30,,14,15,,,,18,,,,6,,,30,14,,10,,,26,
02-03-2018,18,,11,,18,,,29,21,,15,,,24,12,32,,,22,,26,,18,,20,29,,11,10,,,,19,,,,6,,,39,16,,13,,,30,
02-03-2018,19,,12,,15,,,31,12,,14,,,30,22,19,,,21,,26,,12,,32,36,,18,13,,,,20,,,,10,,,34,16,,14,,,29,
02-03-2018,20,,19,,13,,,26,20,,32,,,28,22,20,,,20,,32,,31,,33,27,,29,22,,,,24,,,,15,,,37,18,,23,,,19,
02-03-2018,21,,25,,25,,,27,27,,21,,,28,20,23,,,24,,23,,29,,24,25,,32,24,,,,26,,,,34,,,34,25,,28,,,23,
02-03-2018,22,,27,,31,,,31,25,,18,,,21,21,21,,,36,,32,,30,,31,24,,30,23,,,,21,,,,40,,,40,24,,33,,,27,
02-03-2018,23,,24,,38,,,39,26,,23,,,31,32,21,,,34,,42,,30,,38,25,,30,23,,,,28,,,,37,,,41,22,,36,,,39,
02-03-2018,24,,28,,36,,,40,22,,16,,,40,35,27,,,42,,42,,26,,42,32,,31,29,,,,28,,,,35,,,39,26,,36,,,36,
03-03-2018,1,,25,,41,,,43,32,,25,,,37,36,29,,,42,,43,,17,,40,36,,29,33,,,,33,,,,31,,,40,33,,38,41,,41,
03-03-2018,2,,26,,31,,,43,35,,29,,,33,31,28,,,41,,38,,24,,44,36,,18,33,,,,30,,,,26,,,39,38,,37,27,,40,
03-03-2018,3,,33,,27,,,42,36,,24,,,33,31,26,,,42,,25,,29,,37,33,,21,36,,,,30,,,,24,,,29,26,,24,24,,39,
03-03-2018,4,,33,,19,,,35,27,,27,,,32,23,26,,,34,,28,,28,,33,32,,18,34,,,,27,,,,23,,,39,32,,29,25,,40,
03-03-2018,5,,30,,20,,,37,24,,28,,,33,25,29,,,35,,32,,39,,36,36,,17,25,,,,26,,,,21,,,40,33,,31,25,,42,
03-03-2018,6,,28,,24,,,42,30,,25,,,38,20,29,,,35,,32,,37,,38,36,,24,28,,,,31,,,,23,,,42,36,,30,31,,38,
03-03-2018,7,,24,,24,,,41,29,,21,,,40,21,29,,,38,,34,,36,,40,37,,31,30,,,,33,,,,23,,,36,35,,30,36,,35,
03-03-2018,8,,27,,25,,,40,29,,23,,,44,20,30,,,41,,35,,35,,45,37,,28,30,,,,36,,,,21,,,37,35,,30,34,,34,
03-03-2018,9,,31,,35,,,43,37,,26,,,42,37,37,,,40,,34,,35,,40,42,,25,31,,,,22,,,,22,,,43,36,,28,34,,45,
03-03-2018,10,,37,,41,,,51,41,,18,,,39,39,52,,,44,,36,,45,,40,50,,26,39,,,,24,,,,23,,,51,47,,29,36,,54,
03-03-2018,11,,40,,43,,,54,37,,18,,,21,49,76,,,47,,42,,52,,51,52,,31,42,,,,24,,,,25,,,61,52,,29,42,,60,
03-03-2018,12,,21,,37,,,40,31,,17,,,22,34,37,,,35,,36,,48,,50,38,,31,30,,,,13,,,,14,,,63,48,,28,40,,57,
03-03-2018,13,,15,,29,,,26,21,,11,,,15,14,35,,,22,,29,,30,,25,23,,19,17,,,,15,,,,19,,,47,17,,21,24,,35,
03-03-2018,14,,15,,12,,,17,12,,5,,,18,8,21,,,11,,14,,15,,19,21,,11,14,,,,15,,,,12,,,18,10,,13,12,,21,
03-03-2018,15,,12,,9,,,10,11,,4,,,18,5,12,,,12,,12,,11,,15,15,,11,11,,,,15,,,,11,,,14,8,,9,12,,14,
03-03-2018,16,,12,,9,,,10,10,,5,,,13,8,13,,,11,,,,12,,20,11,,10,10,,,,11,,,,11,,,16,8,,11,12,,13,
03-03-2018,17,,12,,11,,,14,11,,8,,,12,8,14,,,12,,10,,15,,14,13,,10,10,,,,9,,,,10,,,18,10,,10,12,,15,
03-03-2018,18,,13,,12,,,18,12,,13,,,12,8,16,,,14,,15,,14,,33,17,,19,13,,,,10,,,,12,,,19,10,,12,17,,14,
03-03-2018,19,,17,,16,,,18,14,,11,,,16,11,19,,,17,,24,,15,,25,18,,19,14,,,,15,,,,13,,,20,11,,15,18,,21,
03-03-2018,20,,18,,20,,,19,16,,17,,,16,13,21,,,18,,22,,24,,,19,,20,,,,,17,,,,25,,,17,14,,14,16,,16,
03-03-2018,21,,21,,20,,,26,19,,22,,,19,11,23,,,22,,27,,27,,,22,,23,21,,,,24,,,,34,,,26,20,,19,22,,20,
03-03-2018,22,,18,,19,,,31,29,,22,,,22,12,22,,,31,,28,,30,,,25,,28,31,,,,23,,,,29,,,31,21,,30,32,,27,
03-03-2018,23,,15,,26,,,32,30,,18,,,20,15,18,,,33,,32,,27,,,23,,35,30,,,,22,,,,25,,,29,27,,35,35,,27,
03-03-2018,24,,10,,25,,,29,27,,35,,,28,14,20,,,25,,31,,26,,,19,,25,21,,,,25,,,,28,,,28,29,,34,33,,33,
04-03-2018,1,,9,,19,,,28,20,,32,,,29,25,24,,,23,,26,,26,,,18,,30,16,,,,21,,,,19,,,27,31,,33,30,,34,
04-03-2018,2,,7,,16,,,31,20,,31,,,24,26,24,,,30,,29,,27,,,28,,30,11,,,,16,,,,25,,,31,25,,30,31,,30,
04-03-2018,3,,7,,21,,,30,21,,26,,,22,24,24,,,28,,28,,30,,,28,,29,12,,,,16,,,,18,,,26,29,,28,37,,27,
04-03-2018,4,,7,,22,,,28,17,,28,,,21,20,21,,,30,,30,,30,,,29,,25,9,,,,16,,,,18,,,23,28,,27,42,,26,
04-03-2018,5,,7,,20,,,28,26,,28,,,15,18,20,,,32,,34,,27,,,30,,26,10,,,,16,,,,17,,,24,26,,25,35,,28,
04-03-2018,6,,7,,19,,,29,24,,28,,,29,17,22,,,33,,32,,26,,,27,,29,10,,,,16,,,,23,,,26,25,,25,31,,26,
04-03-2018,7,,11,,24,,,31,22,,29,,,32,16,27,,,33,,29,,27,,,30,,33,15,,,,28,,,,18,,,27,27,,24,,,23,
04-03-2018,8,,17,,25,,,32,26,,22,,,40,18,28,,,35,,32,,27,,,34,,34,30,,,,30,,,,20,,,28,27,,26,36,,31,
04-03-2018,9,,25,,30,,,40,23,,24,,,28,31,31,,,30,,31,,31,,,42,,32,22,,,,13,,,,24,,,32,33,,24,48,,45,
04-03-2018,10,,,,37,,,36,18,,15,,,21,27,42,,,28,,30,,30,,,42,,35,13,,,,13,,,,19,,,48,34,,37,46,,44,
04-03-2018,11,,18,,30,,,29,19,,11,,,20,19,34,,,37,,45,,30,,,34,,30,12,,,,15,,,,39,,,51,42,,42,40,,37,
04-03-2018,12,,12,,31,,,29,16,,8,,,11,21,33,,,35,,38,,24,,,27,,28,12,,,,9,,,,29,,,31,35,,31,28,,,
04-03-2018,13,,9,,25,,,24,13,,8,,,8,14,19,,,24,,27,,17,,,18,,22,9,,,,7,,,,16,,,21,23,,19,21,,,
04-03-2018,14,,10,,11,,,16,13,,6,,,10,7,20,,,13,,13,,16,,,15,,11,9,,,,8,,,,12,,,16,9,,15,14,,,
04-03-2018,15,,10,,9,,,13,10,,7,,,11,4,14,,,11,,11,,11,,,13,,8,9,,,,8,,,,11,,,12,8,,10,9,,,
04-03-2018,16,,12,,9,,,12,11,,8,,,10,4,15,,,13,,13,,8,,,13,,10,9,,,,10,,,,10,,,17,8,,10,9,,,
04-03-2018,17,,11,,9,,,14,11,,8,,,12,3,19,,,13,,11,,8,,,13,,15,9,,,,9,,,,9,,,15,13,,10,10,,,
04-03-2018,18,,13,,12,,,18,12,,10,,,13,7,27,,,15,,18,,9,,,17,,17,10,,,,10,,,,10,,,17,10,,12,12,,,
04-03-2018,19,,20,,22,,,38,24,,12,,,25,11,56,,,26,,33,,21,,,36,,21,16,,,,29,,,,9,,,31,18,,14,15,,,
04-03-2018,20,,23,,21,,,39,28,,12,,,16,14,26,,,28,,32,,18,,,42,,19,26,,,,19,,,,9,,,25,15,,15,17,,,
04-03-2018,21,,20,,20,,,37,31,,14,,,14,18,35,,,30,,36,,22,,,35,,18,24,,,,18,,,,13,,,38,29,,21,23,,,
04-03-2018,22,,32,,30,,,54,31,,18,,,18,23,47,,,35,,43,,32,,,49,,27,22,,,,,,,,27,,,45,35,,26,41,,,
04-03-2018,23,,23,,24,,,62,40,,31,,,28,30,43,,,52,,42,,31,,,46,,37,33,,,,,,,,26,,,38,35,,30,51,,,
04-03-2018,24,,24,,17,,,42,40,,39,,,40,28,30,,,53,,53,,51,,,33,,52,27,,,,,,,,19,,,29,36,,32,45,,,
05-03-2018,1,,16,,13,,,36,35,,32,,,40,32,25,,,43,,40,,31,,,39,,22,25,,,,,,,,28,,,30,30,,29,25,,,
05-03-2018,2,,12,,22,,,38,18,,29,,,25,29,23,,,37,,37,,36,,,41,,36,15,,,,,,,,20,,,27,32,,29,33,,,
05-03-2018,3,,6,,18,,,37,16,,29,,,19,24,21,,,43,,37,,32,,,31,,40,14,,,,,,,,17,,,21,34,,25,33,,,
