Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-12-2018,1,0,0,,,2,,1,0,,,,,,1,3,2,,,1,1,1,,1,2,,1,,0,0,2,,,2,0,,,,0,,,2,1,,0,1,,1,1,
01-12-2018,2,0,0,,,2,,1,0,,,,,,0,3,2,,,1,1,1,,2,2,,1,,0,0,2,,,1,0,,,,0,,,2,1,,0,1,,1,1,
01-12-2018,3,0,0,,,2,,2,0,,,,,,0,4,2,,,1,1,1,,2,1,,1,,0,0,1,,,1,0,,,,0,,,1,1,,0,1,,1,1,
01-12-2018,4,1,0,,,2,,2,0,,,,,,0,4,2,,,1,1,1,,1,1,,1,,0,0,1,,,1,0,,,,0,,,1,3,,0,1,,1,2,
01-12-2018,5,1,0,,,1,,1,1,,,,,,0,3,2,,,0,1,1,,1,1,,1,,0,0,1,,,1,0,,,,0,,,2,3,,0,1,,1,2,
01-12-2018,6,1,0,,,1,,1,1,,,,,,0,2,2,,,0,1,1,,2,1,,3,,0,1,1,,,1,1,,,,0,,,2,3,,0,1,,1,3,
01-12-2018,7,1,0,,,1,,2,2,,,,,,1,2,3,,,1,1,1,,3,1,,3,,0,3,1,,,3,1,,,,0,,,2,3,,1,1,,1,5,
01-12-2018,8,1,0,,,2,,2,3,,,,,,2,3,3,,,2,1,2,,3,1,,4,,0,3,1,,,5,1,,,,0,,,3,3,,1,1,,2,8,
01-12-2018,9,1,0,,,2,,3,2,,,,,,1,2,3,,,2,1,2,,3,3,,6,,0,3,1,,,5,1,,,,1,,,3,3,,0,1,,2,5,
01-12-2018,10,1,1,,,4,,2,3,,,,,,1,2,6,,,1,1,1,,3,3,,3,,0,2,1,,,4,1,,,,1,,,5,6,,0,1,,2,4,
01-12-2018,11,1,0,,,5,,1,3,,,,,,1,2,7,,,1,1,1,,2,2,,2,,0,1,1,,,4,1,,,,1,,,3,6,,0,1,,2,3,
01-12-2018,12,1,1,,,3,,1,1,,,,,,1,2,3,,,0,2,1,,2,2,,1,,0,1,1,,,3,1,,,,0,,,3,2,,0,1,,2,2,
01-12-2018,13,1,1,,,1,,1,0,,,,,,1,3,2,,,0,1,1,,2,1,,1,,0,0,1,,,2,1,,,,0,,,1,0,,0,1,,2,1,
01-12-2018,14,1,1,,,1,,1,0,,,,,,1,2,2,,,0,1,1,,2,1,,1,,0,0,1,,,1,1,,,,0,,,1,0,,0,1,,1,1,
01-12-2018,15,1,0,,,1,,1,0,,,,,,1,2,2,,,0,1,1,,2,1,,1,,0,0,1,,,1,0,,,,0,,,1,0,,0,1,,1,1,
01-12-2018,16,1,0,,,0,,1,0,,,,,,1,2,2,,,0,1,1,,2,1,,1,,0,0,1,,,1,0,,,,,,,1,0,,0,1,,1,1,
