Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-02-2018,1,2,1,,,3,,5,4,2,,1,,,,4,2,,,3,0,3,,3,2,,4,2,1,,2,,,5,1,,,,1,,,5,4,,1,2,,2,4,
01-02-2018,2,1,1,,,3,,3,3,2,,1,,,,5,1,,,3,0,3,,3,2,,5,2,1,,1,,,5,1,,,,1,,,4,4,,1,2,,3,4,
01-02-2018,3,1,2,,,2,,4,3,2,,1,,,,4,1,,,3,1,3,,3,2,,5,2,1,,1,,,5,1,,,,1,,,3,4,,1,2,,3,4,
01-02-2018,4,2,2,,,2,,3,2,1,,1,,,,3,1,,,3,1,3,,3,2,,5,2,1,,1,,,4,1,,,,1,,,3,3,,1,1,,3,4,
01-02-2018,5,1,2,,,2,,2,4,2,,1,,,,3,2,,,2,1,2,,3,2,,5,1,1,,1,,,4,1,,,,1,,,4,4,,1,1,,2,6,
01-02-2018,6,2,1,,,3,,2,5,2,,2,,,,3,2,,,2,1,3,,4,2,,6,2,1,,1,,,4,1,,,,1,,,3,4,,1,2,,3,10,
01-02-2018,7,2,1,,,3,,3,7,3,,2,,,,3,4,,,2,1,4,,4,2,,7,2,1,,1,,,6,2,,,,2,,,5,4,,1,3,,3,14,
01-02-2018,8,3,1,,,3,,5,7,5,,3,,,,3,6,,,3,1,6,,5,3,,8,4,1,,3,,,8,2,,,,2,,,7,5,,1,6,,3,16,
01-02-2018,9,2,1,,,4,,7,8,5,,3,,,,4,9,,,4,1,8,,4,5,,10,4,1,,6,,,7,2,,,,2,,,8,6,,2,9,,4,13,
01-02-2018,10,2,1,,,6,,5,7,4,,2,,,,7,6,,,5,1,8,,4,7,,9,4,1,,4,,,7,1,,,,2,,,8,7,,2,6,,4,10,
01-02-2018,11,2,1,,,,,4,4,3,,2,,,,7,5,,,4,1,5,,2,6,,7,2,1,,3,,,6,1,,,,2,,,6,5,,2,4,,3,6,
01-02-2018,12,1,1,,,6,,2,2,2,,1,,,,4,3,,,2,1,3,,2,3,,3,2,1,,2,,,4,1,,,,1,,,3,3,,1,2,,1,4,
01-02-2018,13,1,1,,,4,,2,1,2,,1,,,,4,2,,,2,1,2,,1,2,,3,2,1,,1,,,3,1,,,,1,,,3,2,,1,1,,1,3,
