,HGM,MER,CAM
Enero,0.9,1.0,0.8
Febrero,0.8,1.0,0.7
Marzo,0.7,0.9,0.7
Abril,0.7,0.9,0.7
Mayo,0.8,1.1,0.8
Junio,0.7,0.9,0.7
Julio,0.8,0.9,0.8
Agosto,0.6,0.7,0.7
Septiembre,0.7,0.8,0.8
Octubre,0.6,0.8,0.7
Noviembre,0.7,0.8,0.8
Diciembre,1.1,1.1,1.1
